,arrival_date,district,Sold_Amount,Annual/yields,modal_price/Quintol
49,Jan,Vidisha,53370,615,3475.769231
48,Jan,Ujjain,213750,802,3280.304615
47,Jan,Shivpuri,13180,812,3513.54717
46,Jan,Shajapur,43839,762,3550.031088
45,Jan,Sehore,80840,748,3580.150442
44,Jan,Sagar,65066,792,3448.550336
43,Jan,Ratlam,127135.8,722,3607.105769
42,Jan,Rajgarh,82769,766,3553.826667
41,Jan,Dhar,149761,1060,3565.793893
40,Jan,Dewas,282214,798,3506.731481
36,Feb,Vidisha,11991,615,3532.883598
31,Feb,Ujjain,66818,802,3546.29703
32,Feb,Shivpuri,3265,812,3536.704225
33,Feb,Shajapur,15219.7,762,3590.928571
34,Feb,Sehore,27776,748,3430.963303
30,Feb,Sagar,29955,792,3488.366667
37,Feb,Ratlam,41736,722,3534.838384
38,Feb,Rajgarh,15304,766,3432.686486
39,Feb,Dhar,58257,1060,3434.84
35,Feb,Dewas,95811,798,3562.613861
71,Mar,Vidisha,11810,615,3458.737864
79,Mar,Ujjain,35176,802,3389.285714
78,Mar,Shivpuri,1328,812,3227.083784
77,Mar,Shajapur,9399.7,762,3486.066667
76,Mar,Sehore,16115,748,3475.152174
75,Mar,Sagar,22084,792,3542.280488
74,Mar,Ratlam,27806,722,3329.820755
73,Mar,Rajgarh,6683,766,3566.957547
72,Mar,Dhar,29632,1060,3475.155738
70,Mar,Dewas,30601,798,3475.816514
0,Apr,Vidisha,2550,615,3516.8
5,Apr,Ujjain,70271,802,3523.488372
1,Apr,Shivpuri,2358,812,3512.872093
2,Apr,Shajapur,12797,762,3529.809524
3,Apr,Sehore,31398,748,3599.787879
4,Apr,Sagar,16233,792,3425.295918
6,Apr,Ratlam,47473,722,3512.525974
7,Apr,Rajgarh,14645,766,3530.485294
8,Apr,Dhar,46629,1060,3270.9
9,Apr,Dewas,103393,798,3382
80,May,Vidisha,2357,615,3552.836207
88,May,Ujjain,73238,802,3322.82803
87,May,Shivpuri,2363,812,3573.09375
86,May,Shajapur,11816,762,3550.2625
85,May,Sehore,17102,748,3634.844444
84,May,Sagar,9556,792,3462.809524
83,May,Ratlam,49903.9,722,3631.442478
82,May,Rajgarh,7412,766,3571.747967
81,May,Dhar,49042,1060,3551.548387
89,May,Dewas,63197,798,3431.782051
62,Jun,Vidisha,22883,615,3545.027397
63,Jun,Ujjain,1052012,802,3597.609091
64,Jun,Shivpuri,2762,812,3416.032967
65,Jun,Shajapur,12046,762,3527.282609
69,Jun,Sehore,13084,748,3437.073684
67,Jun,Sagar,13981,792,3572.311688
68,Jun,Ratlam,51351.8,722,3330.872464
61,Jun,Rajgarh,9492,766,3525.675676
66,Jun,Dhar,50429,1060,3523.975728
60,Jun,Dewas,71371,798,3520.1
59,Jul,Vidisha,27934,615,3357.860215
58,Jul,Ujjain,77648,802,3067.351701
51,Jul,Shivpuri,1585,812,3453.192
52,Jul,Shajapur,17116,762,3438.471429
53,Jul,Sehore,50249,748,3503.415929
50,Jul,Sagar,35126,792,3438.771654
55,Jul,Ratlam,50484.8,722,3460.525424
56,Jul,Rajgarh,13463,766,3433.087179
57,Jul,Dhar,66946,1060,3441.946429
54,Jul,Dewas,122331,798,3376.525424
19,Aug,Vidisha,10496,615,3414.3125
13,Aug,Ujjain,31597,802,3624.387097
14,Aug,Shivpuri,216,812,3423.162162
15,Aug,Shajapur,9712.2,762,3526.545455
16,Aug,Sehore,45128,748,3476.622951
17,Aug,Sagar,31368,792,3478.925926
18,Aug,Ratlam,20081.7,722,3265.956098
10,Aug,Rajgarh,11334,766,3465.833333
11,Aug,Dhar,46071,1060,3404.567568
12,Aug,Dewas,64404,798,3499.086957
110,Sep,Vidisha,8041,615,3458.346154
111,Sep,Ujjain,32852,802,3480.827586
112,Sep,Shivpuri,906,812,3498.071429
114,Sep,Shajapur,3783.2,762,3413.914286
115,Sep,Sehore,28380,748,3511.173913
116,Sep,Sagar,22142,792,3465.44898
117,Sep,Ratlam,26478.1,722,3465.5
118,Sep,Rajgarh,26764,766,3093.682143
113,Sep,Dhar,54008,1060,3567.785714
119,Sep,Dewas,64970,798,3407
104,Oct,Vidisha,63477,615,3381.458333
109,Oct,Ujjain,173554,802,3420.571429
108,Oct,Shivpuri,30228,812,3232.683333
107,Oct,Shajapur,26833.6,762,3420.631579
106,Oct,Sehore,69332,748,3491.846154
105,Oct,Sagar,86351,792,3510.16
103,Oct,Ratlam,52304.4,722,3499.740741
102,Oct,Rajgarh,29574,766,3456.277778
101,Oct,Dhar,93928,1060,3346.178571
100,Oct,Dewas,161460,798,3427.269231
90,Nov,Vidisha,62290,615,3476.973684
98,Nov,Ujjain,151218,802,3299.372222
97,Nov,Shivpuri,34220,812,3443.866667
96,Nov,Shajapur,42059,762,3497.45283
95,Nov,Sehore,54986,748,3501.733333
94,Nov,Sagar,100657,792,3311.702703
93,Nov,Ratlam,46354.6,722,3592.931034
92,Nov,Rajgarh,22329,766,3494.102564
91,Nov,Dhar,93835,1060,3547.30303
99,Nov,Dewas,111668,798,3387.2
29,Dec,Vidisha,0,615,3415.807692
28,Dec,Ujjain,0,802,3104.414706
27,Dec,Shivpuri,0,812,3506.666667
26,Dec,Shajapur,0,762,3500.041667
22,Dec,Sehore,0,748,3510.906977
24,Dec,Sagar,0,792,3441.71875
23,Dec,Ratlam,0,722,3586.928571
20,Dec,Rajgarh,0,766,3477.407407
25,Dec,Dhar,0,1060,3509.740741
21,Dec,Dewas,0,798,3523.035714
