,arrival_date,district,modal_price/Quintol,Sold_Amount,esti.yield
40,Jan,Tonk,3050,1.4,754
39,Jan,Swai Madhopur,3571.5,35.2,740
38,Jan,Kota,3495.741935,16404.8,725
37,Jan,Jhalawar,3604.598131,17400.3,580
36,Jan,Chittorgarh,3592.019608,6986,715
35,Jan,Bundi,3550.967391,641,509
34,Jan,Bhilwara,3550,9580.6,755
33,Jan,Baran,3596.769231,2153,705
41,Jan,Udaipur,3500,3813,765
30,Feb,Swai Madhopur,3541.25,9.7,740
26,Feb,Bundi,3562.238636,389.8,509
27,Feb,Chittorgarh,3560.442308,4666,715
28,Feb,Jhalawar,3550.591837,11445.8,580
25,Feb,Baran,3543.467532,6407.1,705
31,Feb,Tonk,3100,0.5,754
32,Feb,Udaipur,3450,4563,765
29,Feb,Kota,3508.305085,14211.9,725
59,Mar,Baran,3535.917808,2777.4,705
65,Mar,Udaipur,3360,3.2,765
64,Mar,Swai Madhopur,3278.666667,5.4,740
63,Mar,Kota,3503.35,9737.3,725
62,Mar,Jhalawar,3534.638298,5478.1,580
61,Mar,Chittorgarh,3465.477273,1810,715
60,Mar,Bundi,3482.722222,344.2,509
0,Apr,Baran,3611.75,1280.1,705
8,Apr,Udaipur,3325,0.6,765
1,Apr,Bhilwara,3588.5,26.4,755
7,Apr,Tonk,3000,14,754
6,Apr,Swai Madhopur,3275,0.8,740
5,Apr,Kota,3596.959184,4168.4,725
4,Apr,Jhalawar,3656.770115,4304,580
3,Apr,Chittorgarh,3660.076923,1922.1,715
2,Apr,Bundi,3539.423077,116.3,509
66,May,Baran,3647.097561,992.4,705
67,May,Bundi,3610.772727,68.7,509
68,May,Chittorgarh,3534.673469,3864.4,715
69,May,Jhalawar,3676.151515,5109.6,580
70,May,Kota,3642.227273,5854,725
71,May,Swai Madhopur,3455,548,740
72,May,Udaipur,3425,10.1,765
52,Jun,Bundi,3522.471429,144.3,509
53,Jun,Chittorgarh,3543.475,3487.3,715
54,Jun,Jhalawar,3619.938053,6132.2,580
57,Jun,Tonk,3050,3.6,754
56,Jun,Swai Madhopur,3555,0.6,740
51,Jun,Bhilwara,3750,20,755
58,Jun,Udaipur,3616.666667,17.1,765
55,Jun,Kota,3605.895522,7830.9,725
50,Jun,Baran,3575.407407,2657.8,705
46,Jul,Jhalawar,3497.903226,6739,580
48,Jul,Swai Madhopur,3318,2.1,740
47,Jul,Kota,3495.888889,10282.9,725
45,Jul,Chittorgarh,3425.413043,5036.2,715
44,Jul,Bundi,3453.842857,168.6,509
43,Jul,Bhilwara,3587.5,52.5,755
42,Jul,Baran,3452.73494,3695.2,705
49,Jul,Udaipur,3450,20.2,765
9,Aug,Baran,3525.541667,2007.1,705
11,Aug,Bundi,3483.15,51,509
12,Aug,Chittorgarh,3505.8125,2025.6,715
13,Aug,Jhalawar,3583.891892,4793,580
14,Aug,Kota,3553.1,8365,725
15,Aug,Swai Madhopur,3291,2,740
16,Aug,Udaipur,3500,7.2,765
10,Aug,Bhilwara,3750,20,755
93,Sep,Udaipur,3550,52,765
91,Sep,Kota,3515.6,4258.9,725
90,Sep,Jhalawar,3564.137931,3269.6,580
89,Sep,Chittorgarh,3483.2,750.8,715
88,Sep,Bundi,3509.346154,27.1,509
87,Sep,Baran,3471.681818,1589.2,705
92,Sep,Swai Madhopur,3505.5,1254,740
86,Oct,Udaipur,3550,19.3,765
85,Oct,Swai Madhopur,3315,59.6,740
84,Oct,Kota,3544.8,37684.9,725
83,Oct,Jhalawar,3564.666667,25768.4,580
82,Oct,Chittorgarh,3491.545455,3754.7,715
81,Oct,Bundi,3541.166667,2566.3,509
80,Oct,Baran,3498.8125,31403.1,705
79,Nov,Swai Madhopur,3591.666667,322.9,740
78,Nov,Kota,3530.6,45273.1,725
77,Nov,Jhalawar,3572.151515,53503.5,580
76,Nov,Chittorgarh,3431.571429,7965.2,715
75,Nov,Bundi,3548.6,3010.6,509
74,Nov,Bhilwara,1875,29.8,755
73,Nov,Baran,3665.565217,28284.1,705
