state,district,commodity,variety,arrival_date,modal_price
Chattisgarh,Balodabazar,Soyabean,Other,01-01-19,2825
Chattisgarh,Balodabazar,Soyabean,Other,02-01-19,2701
Chattisgarh,Balodabazar,Soyabean,Other,03-01-19,2925
Chattisgarh,Balodabazar,Soyabean,Other,05-01-19,3055
Chattisgarh,Balodabazar,Soyabean,Other,09-01-19,3055
Chattisgarh,Balodabazar,Soyabean,Other,10-01-19,2800
Chattisgarh,Balodabazar,Soyabean,Other,11-01-19,3181
Chattisgarh,Balodabazar,Soyabean,Other,14-01-19,3235
Chattisgarh,Balodabazar,Soyabean,Other,17-01-19,2900
Chattisgarh,Balodabazar,Soyabean,Other,18-01-19,3205
Chattisgarh,Balodabazar,Soyabean,Other,19-01-19,2790
Chattisgarh,Balodabazar,Soyabean,Other,23-01-19,2950
Chattisgarh,Balodabazar,Soyabean,Other,29-01-19,3702
Chattisgarh,Balodabazar,Soyabean,Other,02-02-19,3405
Chattisgarh,Balodabazar,Soyabean,Other,05-02-19,3551
Chattisgarh,Balodabazar,Soyabean,Other,06-02-19,3191
Chattisgarh,Balodabazar,Soyabean,Other,11-02-19,3315
Chattisgarh,Balodabazar,Soyabean,Other,12-02-19,3450
Chattisgarh,Balodabazar,Soyabean,Other,13-02-19,3371
Chattisgarh,Balodabazar,Soyabean,Other,14-02-19,3351
Chattisgarh,Balodabazar,Soyabean,Other,15-02-19,3201
Chattisgarh,Balodabazar,Soyabean,Other,19-02-19,3306
Chattisgarh,Balodabazar,Soyabean,Other,21-02-19,3350
Chattisgarh,Balodabazar,Soyabean,Other,22-02-19,3380
Chattisgarh,Balodabazar,Soyabean,Other,23-02-19,3301
Chattisgarh,Balodabazar,Soyabean,Other,25-02-19,3000
Chattisgarh,Balodabazar,Soyabean,Other,28-02-19,3290
Chattisgarh,Balodabazar,Soyabean,Other,01-03-19,3255
Chattisgarh,Balodabazar,Soyabean,Other,02-03-19,3305
Chattisgarh,Balodabazar,Soyabean,Other,05-03-19,3280
Chattisgarh,Balodabazar,Soyabean,Other,06-03-19,3100
Chattisgarh,Balodabazar,Soyabean,Other,11-03-19,2900
Chattisgarh,Balodabazar,Soyabean,Other,16-03-19,3360
Chattisgarh,Balodabazar,Soyabean,Other,18-03-19,3142
Chattisgarh,Balodabazar,Soyabean,Other,25-03-19,2750
Chattisgarh,Balodabazar,Soyabean,Other,26-03-19,2900
Chattisgarh,Balodabazar,Soyabean,Other,28-03-19,2950
Chattisgarh,Balodabazar,Soyabean,Other,29-03-19,2500
Chattisgarh,Balodabazar,Soyabean,Other,30-03-19,2750
Chattisgarh,Balodabazar,Soyabean,Other,02-04-19,2500
Chattisgarh,Balodabazar,Soyabean,Other,04-04-19,3050
Chattisgarh,Balodabazar,Soyabean,Other,09-04-19,2850
Chattisgarh,Balodabazar,Soyabean,Other,10-04-19,3060
Chattisgarh,Balodabazar,Soyabean,Other,30-04-19,3100
Chattisgarh,Balodabazar,Soyabean,Other,04-05-19,2650
Chattisgarh,Balodabazar,Soyabean,Other,16-05-19,2600
Chattisgarh,Balodabazar,Soyabean,Other,23-05-19,3140
Chattisgarh,Balodabazar,Soyabean,Other,24-05-19,3390
Chattisgarh,Balodabazar,Soyabean,Other,25-05-19,2975
Chattisgarh,Balodabazar,Soyabean,Other,27-05-19,2210
Chattisgarh,Balodabazar,Soyabean,Other,28-05-19,3495
Chattisgarh,Balodabazar,Soyabean,Other,31-05-19,3295
Chattisgarh,Balodabazar,Soyabean,Other,01-06-19,3440
Chattisgarh,Balodabazar,Soyabean,Other,14-06-19,3191
Chattisgarh,Balodabazar,Soyabean,Other,24-07-19,3200
Chattisgarh,Balodabazar,Soyabean,Other,26-07-19,3199
