State,District,Arrival_Date,Sold_Amount/tonns
Uttar Pradesh,Kanpur,Jan,492
Uttar Pradesh,Lalitpur,Jan,503.5
Uttar Pradesh,Kanpur,Feb,640
Uttar Pradesh,Lalitpur,Feb,418
Uttar Pradesh,Kanpur,Mar,565
Uttar Pradesh,Lalitpur,Mar,233
Uttar Pradesh,Kanpur,Apr,595
Uttar Pradesh,Lalitpur,Apr,98.5
Uttar Pradesh,Kanpur,May,669
Uttar Pradesh,Lalitpur,May,415.5
Uttar Pradesh,Kanpur,Jun,483
Uttar Pradesh,Lalitpur,Jun,456.9
Uttar Pradesh,Kanpur,Jul,704
Uttar Pradesh,Lalitpur,Jul,745
Uttar Pradesh,Kanpur,Aug,880
Uttar Pradesh,Lalitpur,Aug,225
Uttar Pradesh,Kanpur,Sep,573
Uttar Pradesh,Lalitpur,Sep,80.4
Uttar Pradesh,Kanpur,Oct,426
Uttar Pradesh,Lalitpur,Oct,329.5
Uttar Pradesh,Kanpur,Nov,600
Uttar Pradesh,Lalitpur,Nov,8191
