State,District,Arrival_Date,Sold_Amount/tonns
Chattisgarh,Balodabazar,Jan,6.9
Chattisgarh,Durg,Jan,958.5
Chattisgarh,Kabirdham,Jan,242.4
Chattisgarh,Mungeli,Jan,151.9
Chattisgarh,Raipur,Jan,630.2
Chattisgarh,Rajnandgaon,Jan,2946.9
Chattisgarh,Balodabazar,Feb,15.5
Chattisgarh,Durg,Feb,599
Chattisgarh,Kabirdham,Feb,287.3
Chattisgarh,Mungeli,Feb,96.5
Chattisgarh,Raipur,Feb,312.9
Chattisgarh,Rajnandgaon,Feb,4166.9
Chattisgarh,Balodabazar,Mar,4.4
Chattisgarh,Durg,Mar,230.6
Chattisgarh,Kabirdham,Mar,434.5
Chattisgarh,Mungeli,Mar,55.7
Chattisgarh,Raipur,Mar,0.2
Chattisgarh,Rajnandgaon,Mar,3750.6
Chattisgarh,Balodabazar,Apr,3.1
Chattisgarh,Durg,Apr,208.8
Chattisgarh,Kabirdham,Apr,612.3
Chattisgarh,Mungeli,Apr,47.8
Chattisgarh,Raipur,Apr,500
Chattisgarh,Rajnandgaon,Apr,4405.8
Chattisgarh,Balodabazar,May,5.3
Chattisgarh,Kabirdham,May,279.1
Chattisgarh,Mungeli,May,162.6
Chattisgarh,Raipur,May,775.4
Chattisgarh,Rajnandgaon,May,4126.3
Chattisgarh,Durg,May,234
Chattisgarh,Balodabazar,Jun,1.3
Chattisgarh,Kabirdham,Jun,278.1
Chattisgarh,Mungeli,Jun,254.1
Chattisgarh,Raipur,Jun,39.3
Chattisgarh,Rajnandgaon,Jun,2396.5
Chattisgarh,Durg,Jun,15
Chattisgarh,Balodabazar,Jul,1.5
Chattisgarh,Kabirdham,Jul,217.7
Chattisgarh,Mungeli,Jul,106.3
Chattisgarh,Raipur,Jul,41.6
Chattisgarh,Rajnandgaon,Jul,2320.3
Chattisgarh,Durg,Jul,456
Chattisgarh,Balodabazar,Aug,1.8
Chattisgarh,Kabirdham,Aug,131.5
Chattisgarh,Mungeli,Aug,28
Chattisgarh,Raipur,Aug,85
Chattisgarh,Rajnandgaon,Aug,2396.4
Chattisgarh,Durg,Aug,54
Chattisgarh,Balodabazar,Sep,2
Chattisgarh,Durg,Sep,29.6
Chattisgarh,Kabirdham,Sep,80.4
Chattisgarh,Mungeli,Sep,49.5
Chattisgarh,Rajnandgaon,Sep,1331.6
Chattisgarh,Raipur,Sep,154
Chattisgarh,Balodabazar,Oct,21.9
Chattisgarh,Durg,Oct,985.6
Chattisgarh,Kabirdham,Oct,1435.8
Chattisgarh,Mungeli,Oct,1434.6
Chattisgarh,Raipur,Oct,11.4
Chattisgarh,Rajnandgaon,Oct,11207
Chattisgarh,Balodabazar,Nov,40.2
Chattisgarh,Durg,Nov,579.5
Chattisgarh,Kabirdham,Nov,2531.3
Chattisgarh,Mungeli,Nov,2049.6
Chattisgarh,Raipur,Nov,57.8
Chattisgarh,Rajnandgaon,Nov,14381.7
