State,District,Arrival_Date,Sold_Amount/tonns
Gujarat,Amreli,Jan,2.9
Gujarat,Bhavnagar,Jan,0.42
Gujarat,Dahod,Jan,2660.9
Gujarat,Jamnagar,Jan,9.5
Gujarat,Junagarh,Jan,692
Gujarat,Rajkot,Jan,170.6
Gujarat,Sabarkantha,Jan,1709
Gujarat,Surat,Jan,0.9
Gujarat,Vadodara,Jan,23.5
Gujarat,Amreli,Feb,1.7
Gujarat,Bhavnagar,Feb,0.12
Gujarat,Dahod,Feb,1079.5
Gujarat,Jamnagar,Feb,2.3
Gujarat,Junagarh,Feb,273.4
Gujarat,Rajkot,Feb,89.2
Gujarat,Sabarkantha,Feb,1162.6
Gujarat,Surat,Feb,4.51
Gujarat,Vadodara,Feb,9.8
Gujarat,Amreli,Mar,2.1
Gujarat,Bhavnagar,Mar,0.02
Gujarat,Dahod,Mar,874.4
Gujarat,Junagarh,Mar,85.9
Gujarat,Rajkot,Mar,40.7
Gujarat,Sabarkantha,Mar,159.4
Gujarat,Surat,Mar,9.94
Gujarat,Jamnagar,Mar,123
Gujarat,Vadodara,Mar,45
Gujarat,Amreli,Apr,1.4
Gujarat,Bhavnagar,Apr,0.1
Gujarat,Dahod,Apr,827.7
Gujarat,Jamnagar,Apr,2.6
Gujarat,Junagarh,Apr,109.4
Gujarat,Rajkot,Apr,44.6
Gujarat,Sabarkantha,Apr,9.8
Gujarat,Surat,Apr,12.74
Gujarat,Vadodara,Apr,0
Gujarat,Amreli,May,0.8
Gujarat,Dahod,May,990.3
Gujarat,Jamnagar,May,0.7
Gujarat,Junagarh,May,144.7
Gujarat,Rajkot,May,120.4
Gujarat,Sabarkantha,May,0.8
Gujarat,Surat,May,0.13
Gujarat,Bhavnagar,May,355
Gujarat,Vadodara,May,545
Gujarat,Amreli,Jun,0.2
Gujarat,Dahod,Jun,918.6
Gujarat,Jamnagar,Jun,0.3
Gujarat,Junagarh,Jun,87.5
Gujarat,Rajkot,Jun,66.1
Gujarat,Sabarkantha,Jun,18.5
Gujarat,Surat,Jun,0.12
Gujarat,Vadodara,Jun,546
Gujarat,Bhavnagar,Jun,241
Gujarat,Amreli,Jul,0.3
Gujarat,Bhavnagar,Jul,0.08
Gujarat,Dahod,Jul,1116.6
Gujarat,Jamnagar,Jul,0.7
Gujarat,Junagarh,Jul,77.7
Gujarat,Rajkot,Jul,477.1
Gujarat,Sabarkantha,Jul,26.9
Gujarat,Surat,Jul,4.5
Gujarat,Vadodara,Jul,546
Gujarat,Amreli,Aug,0.5
Gujarat,Bhavnagar,Aug,0.05
Gujarat,Dahod,Aug,831.3
Gujarat,Jamnagar,Aug,0.2
Gujarat,Junagarh,Aug,54.5
Gujarat,Rajkot,Aug,322.7
Gujarat,Sabarkantha,Aug,6
Gujarat,Vadodara,Aug,65
Gujarat,Surat,Aug,54
Gujarat,Amreli,Sep,0.1
Gujarat,Dahod,Sep,450.4
Gujarat,Junagarh,Sep,119.3
Gujarat,Rajkot,Sep,348.3
Gujarat,Sabarkantha,Sep,2
Gujarat,Vadodara,Sep,444
Gujarat,Surat,Sep,35
Gujarat,Bhavnagar,Sep,353
Gujarat,Jamnagar,Sep,978
Gujarat,Amreli,Oct,4.3
Gujarat,Dahod,Oct,1230.7
Gujarat,Jamnagar,Oct,0.5
Gujarat,Junagarh,Oct,427.1
Gujarat,Rajkot,Oct,981.7
Gujarat,Sabarkantha,Oct,71
Gujarat,Surat,Oct,92.46
Gujarat,Vadodara,Oct,546
Gujarat,Bhavnagar,Oct,353
Gujarat,Amreli,Nov,14.7
Gujarat,Bhavnagar,Nov,0.1
Gujarat,Dahod,Nov,6085.6
Gujarat,Jamnagar,Nov,0.2
Gujarat,Junagarh,Nov,2986
Gujarat,Rajkot,Nov,6052.7
Gujarat,Sabarkantha,Nov,9754
Gujarat,Surat,Nov,867.12
Gujarat,Vadodara,Nov,354
