State,District,Arrival_Date,Sold_Amount/tonns
karnataka,Bangalore,Jan,16
karnataka,Belgaum,Jan,4009
karnataka,Bidar,Jan,4110
karnataka,Dharwad,Jan,2418
karnataka,Gulbarga,Jan,288
karnataka,Haveri,Jan,383
karnataka,Bangalore,Feb,17
karnataka,Belgaum,Feb,1854
karnataka,Bidar,Feb,1378
karnataka,Dharwad,Feb,2368
karnataka,Gulbarga,Feb,211
karnataka,Haveri,Feb,427
karnataka,Bangalore,Mar,24
karnataka,Belgaum,Mar,1384
karnataka,Bidar,Mar,841
karnataka,Dharwad,Mar,2013
karnataka,Gulbarga,Mar,146
karnataka,Haveri,Mar,544
karnataka,Bangalore,Apr,16
karnataka,Belgaum,Apr,1795
karnataka,Bidar,Apr,1126
karnataka,Dharwad,Apr,4288
karnataka,Gulbarga,Apr,114
karnataka,Haveri,Apr,1062
karnataka,Bangalore,May,39
karnataka,Belgaum,May,589
karnataka,Bidar,May,542
karnataka,Dharwad,May,2587
karnataka,Gulbarga,May,21
karnataka,Haveri,May,681
karnataka,Bangalore,Jun,13
karnataka,Belgaum,Jun,327
karnataka,Bidar,Jun,524
karnataka,Dharwad,Jun,692
karnataka,Gulbarga,Jun,42
karnataka,Haveri,Jun,332
karnataka,Bangalore,Jul,10
karnataka,Belgaum,Jul,219
karnataka,Bidar,Jul,195
karnataka,Dharwad,Jul,673
karnataka,Gulbarga,Jul,5
karnataka,Haveri,Jul,223
karnataka,Bangalore,Aug,27
karnataka,Belgaum,Aug,432
karnataka,Bidar,Aug,455
karnataka,Dharwad,Aug,1859
karnataka,Haveri,Aug,273
karnataka,Gulbarga,Aug,254
karnataka,Bangalore,Sep,27
karnataka,Belgaum,Sep,432
karnataka,Bidar,Sep,455
karnataka,Dharwad,Sep,1859
karnataka,Haveri,Sep,273
karnataka,Gulbarga,Sep,54
karnataka,Bagalkot,Oct,27
karnataka,Bangalore,Oct,33
karnataka,Belgaum,Oct,3080
karnataka,Bidar,Oct,11138
karnataka,Dharwad,Oct,559
karnataka,Gulbarga,Oct,243
karnataka,Haveri,Oct,358
karnataka,Bagalkot,Nov,18
karnataka,Bangalore,Nov,9
karnataka,Belgaum,Nov,5477
karnataka,Bidar,Nov,17638
karnataka,Dharwad,Nov,458
karnataka,Gulbarga,Nov,697
karnataka,Haveri,Nov,863
