State,District,Arrival_Date,Sold_Amount/tonns
MP,Alirajpur,Jan,1615.2
MP,Anupur,Jan,3
MP,Ashoknagar,Jan,13407.1
MP,Badwani,Jan,627.05
MP,Betul,Jan,6305.5
MP,Bhopal,Jan,7918.4
MP,Burhanpur,Jan,974.7
MP,Chhatarpur,Jan,1900.77
MP,Chhindwara,Jan,541.39
MP,Damoh,Jan,7339.43
MP,Datia,Jan,6.7
MP,Dewas,Jan,56109.98
MP,Dhar,Jan,42130.71
MP,Dindori,Jan,776.03
MP,Guna,Jan,13107.14
MP,Gwalior,Jan,49.7
MP,Harda,Jan,25236.9
MP,Hoshangabad,Jan,11511.8
MP,Indore,Jan,43641.2
MP,Jabalpur,Jan,6.7
MP,Jhabua,Jan,13096.11
MP,Katni,Jan,0.3
MP,Khandwa,Jan,14431.4
MP,Khargone,Jan,6736.73
MP,Mandsaur,Jan,41960.05
MP,Morena,Jan,37.2
MP,Narsinghpur,Jan,1086.1
MP,Neemuch,Jan,59545.03
MP,Panna,Jan,44
MP,Raisen,Jan,5909.8
MP,Rajgarh,Jan,38247.75
MP,Ratlam,Jan,52769.14
MP,Rewa,Jan,53.95
MP,Sagar,Jan,31574.16
MP,Satna,Jan,181.94
MP,Sehore,Jan,41232.1
MP,Seoni,Jan,71.38
MP,Shajapur,Jan,32835.73
MP,Shehdol,Jan,252.43
MP,Sheopur,Jan,451.41
MP,Shivpuri,Jan,6906.2
MP,Tikamgarh,Jan,676.58
MP,Ujjain,Jan,91726.1
MP,Umariya,Jan,21.5
MP,Vidisha,Jan,21619.58
MP,Alirajpur,Feb,1298.1
MP,Ashoknagar,Feb,5271.7
MP,Badwani,Feb,348.89
MP,Betul,Feb,2968.7
MP,Bhopal,Feb,2260
MP,Burhanpur,Feb,123.2
MP,Chhatarpur,Feb,2132.01
MP,Chhindwara,Feb,79.8
MP,Damoh,Feb,2118
MP,Datia,Feb,6.8
MP,Dewas,Feb,12686.75
MP,Dhar,Feb,14427.33
MP,Dindori,Feb,392.86
MP,Guna,Feb,4583.96
MP,Gwalior,Feb,20
MP,Harda,Feb,2358.9
MP,Hoshangabad,Feb,815.7
MP,Indore,Feb,12118.4
MP,Jabalpur,Feb,0.1
MP,Jhabua,Feb,2996.71
MP,Katni,Feb,0.6
MP,Khandwa,Feb,2164
MP,Khargone,Feb,1418.63
MP,Mandsaur,Feb,11813.25
MP,Morena,Feb,2.9
MP,Narsinghpur,Feb,244
MP,Neemuch,Feb,31071.4
MP,Panna,Feb,6.3
MP,Raisen,Feb,2150
MP,Rajgarh,Feb,13145.21
MP,Ratlam,Feb,14840.82
MP,Rewa,Feb,17.2
MP,Sagar,Feb,6520.48
MP,Satna,Feb,126.77
MP,Sehore,Feb,13101.73
MP,Seoni,Feb,46.2
MP,Shajapur,Feb,10240.97
MP,Shehdol,Feb,80.54
MP,Sheopur,Feb,93.54
MP,Shivpuri,Feb,3543.5
MP,Tikamgarh,Feb,633.22
MP,Ujjain,Feb,18661.73
MP,Umariya,Feb,6.06
MP,Vidisha,Feb,4721.31
MP,Alirajpur,Mar,1741.4
MP,Ashoknagar,Mar,3482.9
MP,Badwani,Mar,167.57
MP,Betul,Mar,3410
MP,Bhopal,Mar,1558.8
MP,Burhanpur,Mar,53.3
MP,Chhatarpur,Mar,4804.17
MP,Chhindwara,Mar,201.9
MP,Damoh,Mar,1099
MP,Datia,Mar,20.3
MP,Dewas,Mar,5204.39
MP,Dhar,Mar,8716.87
MP,Dindori,Mar,465.34
MP,Guna,Mar,2069.97
MP,Gwalior,Mar,1
MP,Harda,Mar,1504
MP,Hoshangabad,Mar,891.4
MP,Indore,Mar,7912.5
MP,Jabalpur,Mar,0.5
MP,Jhabua,Mar,1524.83
MP,Katni,Mar,6.7
MP,Khandwa,Mar,1706.5
MP,Khargone,Mar,784.7
MP,Mandla,Mar,11.58
MP,Mandsaur,Mar,7766.96
MP,Morena,Mar,0.5
MP,Narsinghpur,Mar,156
MP,Neemuch,Mar,16731.3
MP,Panna,Mar,13.1
MP,Raisen,Mar,1040.43
MP,Rajgarh,Mar,5329.64
MP,Ratlam,Mar,8749.76
MP,Rewa,Mar,204.14
MP,Sagar,Mar,5578.85
MP,Satna,Mar,34.34
MP,Sehore,Mar,8014.2
MP,Seoni,Mar,37.3
MP,Shajapur,Mar,4296.24
MP,Shehdol,Mar,103.27
MP,Sheopur,Mar,64.9
MP,Shivpuri,Mar,1125.06
MP,Tikamgarh,Mar,359.67
MP,Ujjain,Mar,12052.63
MP,Umariya,Mar,6.8
MP,Vidisha,Mar,2822.3
MP,Alirajpur,Apr,1696.81
MP,Anupur,s,0.36
MP,Ashoknagar,Apr,2296.2
MP,Badwani,Apr,87.69
MP,Betul,Apr,7289.28
MP,Bhopal,Apr,1303
MP,Burhanpur,Apr,160.5
MP,Chhatarpur,Apr,4055.11
MP,Chhindwara,Apr,418.9
MP,Damoh,Apr,1658
MP,Datia,Apr,13.5
MP,Dewas,Apr,14572.52
MP,Dhar,Apr,16533.26
MP,Dindori,Apr,939.76
MP,Guna,Apr,1312.98
MP,Harda,Apr,737.8
MP,Hoshangabad,Apr,996.3
MP,Indore,Apr,10123.6
MP,Jhabua,Apr,4861.34
MP,Khandwa,Apr,1517.9
MP,Khargone,Apr,505.99
MP,Mandsaur,Apr,9126.21
MP,Narsinghpur,Apr,173.46
MP,Neemuch,Apr,24053.2
MP,Panna,Apr,23.3
MP,Raisen,Apr,217
MP,Rajgarh,Apr,5453.79
MP,Ratlam,Apr,10921.21
MP,Rewa,Apr,211.4
MP,Sagar,Apr,4813.98
MP,Satna,Apr,12.63
MP,Sehore,Apr,11066.81
MP,Seoni,Apr,154.41
MP,Shajapur,Apr,6295.1
MP,Shehdol,Apr,263.98
MP,Sheopur,Apr,23.4
MP,Shivpuri,Apr,1594.31
MP,Tikamgarh,Apr,944.59
MP,Ujjain,Apr,18348.24
MP,Vidisha,Apr,929
MP,Alirajpur,May,1821.55
MP,Ashoknagar,May,1326.9
MP,Badwani,May,90.7
MP,Betul,May,6970.1
MP,Bhopal,May,502.2
MP,Burhanpur,May,87.9
MP,Chhatarpur,May,1993.67
MP,Chhindwara,May,147.8
MP,Damoh,May,513.1
MP,Dewas,May,8287.89
MP,Dhar,May,13761.1
MP,Dindori,May,483.88
MP,Guna,May,478.6
MP,Gwalior,May,1.5
MP,Harda,May,558.4
MP,Hoshangabad,May,130.6
MP,Indore,May,10417.4
MP,Jhabua,May,1789.46
MP,Khandwa,May,1788.2
MP,Khargone,May,363.65
MP,Mandsaur,May,8975.26
MP,Narsinghpur,May,95.3
MP,Neemuch,May,29652.1
MP,Raisen,May,52.4
MP,Rajgarh,May,6322.55
MP,Ratlam,May,11983.3
MP,Rewa,May,0.3
MP,Sagar,May,4188.69
