State,District,Arrival_Date,Sold_Amount/tonns
rajasthan,Tonk,Jan,1.4
rajasthan,Swai Madhopur,Jan,35.2
rajasthan,Kota,Jan,16404.8
rajasthan,Jhalawar,Jan,17400.3
rajasthan,Chittorgarh,Jan,6986
rajasthan,Bundi,Jan,641
rajasthan,Bhilwara,Jan,9580.6
rajasthan,Baran,Jan,2153
rajasthan,Udaipur,Jan,3813
rajasthan,Swai Madhopur,Feb,9.7
rajasthan,Bundi,Feb,389.8
rajasthan,Chittorgarh,Feb,4666
rajasthan,Jhalawar,Feb,11445.8
rajasthan,Baran,Feb,6407.1
rajasthan,Tonk,Feb,0.5
rajasthan,Udaipur,Feb,4563
rajasthan,Kota,Feb,14211.9
rajasthan,Baran,Mar,2777.4
rajasthan,Udaipur,Mar,3.2
rajasthan,Swai Madhopur,Mar,5.4
rajasthan,Kota,Mar,9737.3
rajasthan,Jhalawar,Mar,5478.1
rajasthan,Chittorgarh,Mar,1810
rajasthan,Bundi,Mar,344.2
rajasthan,Baran,Apr,1280.1
rajasthan,Udaipur,Apr,0.6
rajasthan,Bhilwara,Apr,26.4
rajasthan,Tonk,Apr,14
rajasthan,Swai Madhopur,Apr,0.8
rajasthan,Kota,Apr,4168.4
rajasthan,Jhalawar,Apr,4304
rajasthan,Chittorgarh,Apr,1922.1
rajasthan,Bundi,Apr,116.3
rajasthan,Baran,May,992.4
rajasthan,Bundi,May,68.7
rajasthan,Chittorgarh,May,3864.4
rajasthan,Jhalawar,May,5109.6
rajasthan,Kota,May,5854
rajasthan,Swai Madhopur,May,548
rajasthan,Udaipur,May,10.1
rajasthan,Bundi,Jun,144.3
rajasthan,Chittorgarh,Jun,3487.3
rajasthan,Jhalawar,Jun,6132.2
rajasthan,Tonk,Jun,3.6
rajasthan,Swai Madhopur,Jun,0.6
rajasthan,Bhilwara,Jun,20
rajasthan,Udaipur,Jun,17.1
rajasthan,Kota,Jun,7830.9
rajasthan,Baran,Jun,2657.8
rajasthan,Jhalawar,Jul,6739
rajasthan,Swai Madhopur,Jul,2.1
rajasthan,Kota,Jul,10282.9
rajasthan,Chittorgarh,Jul,5036.2
rajasthan,Bundi,Jul,168.6
rajasthan,Bhilwara,Jul,52.5
rajasthan,Baran,Jul,3695.2
rajasthan,Udaipur,Jul,20.2
rajasthan,Baran,Aug,2007.1
rajasthan,Bundi,Aug,51
rajasthan,Chittorgarh,Aug,2025.6
rajasthan,Jhalawar,Aug,4793
rajasthan,Kota,Aug,8365
rajasthan,Swai Madhopur,Aug,2
rajasthan,Udaipur,Aug,7.2
rajasthan,Bhilwara,Aug,20
rajasthan,Udaipur,Sep,52
rajasthan,Kota,Sep,4258.9
rajasthan,Jhalawar,Sep,3269.6
rajasthan,Chittorgarh,Sep,750.8
rajasthan,Bundi,Sep,27.1
rajasthan,Baran,Sep,1589.2
rajasthan,Swai Madhopur,Sep,1254
rajasthan,Udaipur,Oct,19.3
rajasthan,Swai Madhopur,Oct,59.6
rajasthan,Kota,Oct,37684.9
rajasthan,Jhalawar,Oct,25768.4
rajasthan,Chittorgarh,Oct,3754.7
rajasthan,Bundi,Oct,2566.3
rajasthan,Baran,Oct,31403.1
rajasthan,Swai Madhopur,Nov,322.9
rajasthan,Kota,Nov,45273.1
rajasthan,Jhalawar,Nov,53503.5
rajasthan,Chittorgarh,Nov,7965.2
rajasthan,Bundi,Nov,3010.6
rajasthan,Bhilwara,Nov,29.8
rajasthan,Baran,Nov,28284.1
