arrival_date,state,variety,district,modal_price
Jan,Madhya Pradesh,Other,Shehdol,3295.83333333333
Jan,Madhya Pradesh,Soyabeen,Ashoknagar,3357.14285714286
Jan,Madhya Pradesh,Other,Vidisha,3404.13043478261
Jan,Madhya Pradesh,Other,Umariya,3440
Jan,Madhya Pradesh,Other,Tikamgarh,3315
Jan,Madhya Pradesh,Other,Shivpuri,3522.90909090909
Jan,Madhya Pradesh,Other,Sheopur,3472.85714285714
Jan,Madhya Pradesh,Other,Shajapur,3572.17117117117
Jan,Madhya Pradesh,Other,Seoni,3075
Jan,Madhya Pradesh,Other,Sehore,3501
Jan,Madhya Pradesh,Other,Satna,3191.5625
Jan,Madhya Pradesh,Other,Sagar,3247.5
Jan,Madhya Pradesh,Other,Rewa,3192.4
Jan,Madhya Pradesh,Other,Ratlam,3575.43181818182
Jan,Madhya Pradesh,Other,Rajgarh,3563.72727272727
Jan,Madhya Pradesh,Other,Raisen,3295.68
Jan,Madhya Pradesh,Other,Panna,3110
Jan,Madhya Pradesh,Other,Neemuch,3440.26086956522
Jan,Madhya Pradesh,Other,Narsinghpur,3440.36363636364
Jan,Madhya Pradesh,Other,Mandsaur,3543.82
Jan,Madhya Pradesh,Other,Khargone,3541.41791044776
Jan,Madhya Pradesh,Other,Khandwa,3548.93333333333
Jan,Madhya Pradesh,Other,Indore,3452.52272727273
Jan,Madhya Pradesh,Other,Hoshangabad,3123.1
Jan,Madhya Pradesh,Soyabeen,Badwani,3024
Jan,Madhya Pradesh,Other,Guna,3471.18681318681
Jan,Madhya Pradesh,Soyabeen,Bhopal,3404
Jan,Madhya Pradesh,Soyabeen,Chhindwara,2769
Jan,Madhya Pradesh,Yellow,Damoh,3448.8064516129
Jan,Madhya Pradesh,Yellow,Chhindwara,3327.22222222222
Jan,Madhya Pradesh,Yellow,Chhatarpur,3440
Jan,Madhya Pradesh,Yellow,Burhanpur,3584.04545454545
Jan,Madhya Pradesh,Yellow,Bhopal,3498.16666666667
Jan,Madhya Pradesh,Yellow,Betul,3544.29411764706
Jan,Madhya Pradesh,Yellow,Badwani,3571.09523809524
Jan,Madhya Pradesh,Sup,Indore,3000
Jan,Madhya Pradesh,Soyabeen,Ujjain,352.969230769231
Jan,Madhya Pradesh,Soyabeen,Shivpuri,3460.88888888889
Jan,Madhya Pradesh,Soyabeen,Sheopur,3547.42105263158
Jan,Madhya Pradesh,Soyabeen,Sehore,3670.10526315789
Jan,Madhya Pradesh,Soyabeen,Sagar,3422.91489361702
Jan,Madhya Pradesh,Soyabeen,Ratlam,3654.16666666667
Jan,Madhya Pradesh,Soyabeen,Rajgarh,3532.64705882353
Jan,Madhya Pradesh,Soyabeen,Panna,3305
Jan,Madhya Pradesh,Soyabeen,Morena,3475
Jan,Madhya Pradesh,Soyabeen,Mandsaur,3499
Jan,Madhya Pradesh,Soyabeen,Khargone,3497.17391304348
Jan,Madhya Pradesh,Soyabeen,Harda,3507.70588235294
Jan,Madhya Pradesh,Soyabeen,Guna,3421.93333333333
Jan,Madhya Pradesh,Soyabeen,Dindori,3400
Jan,Madhya Pradesh,Soyabeen,Dewas,3499.10810810811
Jan,Madhya Pradesh,Soyabeen,Chhatarpur,3448.92307692308
Jan,Madhya Pradesh,Yellow,Datia,3490
Jan,Madhya Pradesh,Other,Dhar,3364.44444444444
Jan,Madhya Pradesh,Other,Damoh,3435.66666666667
Jan,Gujarat,Soyabeen,Vadodara(Baroda),3225
Jan,Gujarat,Soyabeen,Rajkot,3483.33333333333
Jan,Gujarat,Soyabeen,Junagarh,3514.47368421053
Jan,Gujarat,Soyabeen,Jamnagar,3435.71428571429
Jan,Gujarat,Soyabeen,Dahod,3742.27272727273
Jan,Gujarat,Soyabeen,Amreli,3455
Jan,Gujarat,Other,Surat,2875
Jan,Gujarat,Other,Sabarkantha,3608.2
Jan,Gujarat,Other,Rajkot,2783.33333333333
Jan,Gujarat,Other,Junagarh,3265
Jan,Gujarat,Other,Dahod,3187.5
Jan,Gujarat,Other,Amreli,3361.66666666667
Jan,Chattisgarh,Yellow,Rajnandgaon,3582.52631578947
Jan,Chattisgarh,Yellow,Raipur,3000
Jan,Chattisgarh,Yellow,Mungeli,3486.75
Jan,Chattisgarh,Yellow,Kabirdham,3430.46666666667
Jan,Chattisgarh,Yellow,Durg,3457.33333333333
Jan,Chattisgarh,Soyabeen,Rajnandgaon,3399
Jan,Chattisgarh,Soyabeen,Raipur,3242.5
Jan,Chattisgarh,Other,Rajnandgaon,2950
Jan,Chattisgarh,Other,Durg,3411
Jan,Chattisgarh,Other,Balodabazar,3144.66666666667
Jan,Chattisgarh,Local,Rajnandgaon,3596.16666666667
Jan,Gujarat,Yellow,Rajkot,3482.14285714286
Jan,Madhya Pradesh,Other,Dewas,3491.78125
Jan,Gujarat,Yellow,Sabarkantha,3509.7619047619
Jan,Karnataka,Local,Belgaum,3615.5
Jan,Madhya Pradesh,Other,Chhindwara,3370.70588235294
Jan,Madhya Pradesh,Other,Chhatarpur,3554.44444444444
Jan,Madhya Pradesh,Other,Bhopal,3568
Jan,Madhya Pradesh,Other,Betul,3680
Jan,Madhya Pradesh,Other,Badwani,3243.75
Jan,Madhya Pradesh,Other,Ashoknagar,3511.31818181818
Jan,Madhya Pradesh,Other,Anupur,3000
Jan,Madhya Pradesh,Other,Alirajpur,3289.35483870968
Jan,Madhya Pradesh,Local,Sagar,3400
Jan,Madhya Pradesh,Local,Mandsaur,3367.5
Jan,Madhya Pradesh,Local,Dindori,3391.5
Jan,Madhya Pradesh,Black,Tikamgarh,3168.75
Jan,Madhya Pradesh,Black,Seoni,3276.75
Jan,Madhya Pradesh,Black,Rajgarh,3517.77777777778
Jan,Madhya Pradesh,Black,Raisen,3280.83333333333
Jan,Madhya Pradesh,Black,Chhatarpur,3000
Jan,Karnataka,Soyabeen,Haveri,3590.87096774194
Jan,Karnataka,Soyabeen,Gulbarga,3248.125
Jan,Karnataka,Soyabeen,Dharwad,3468.5
Jan,Karnataka,Soyabeen,Bidar,3635
Jan,Karnataka,Soyabeen,Belgaum,3403.75
Jan,Karnataka,Soyabeen,Bangalore,4600
Jan,Karnataka,Other,Belgaum,3800
Jan,Gujarat,Yellow,Surat,3737
Jan,Madhya Pradesh,Yellow,Dewas,3526.23076923077
Jan,Madhya Pradesh,Yellow,Ashoknagar,3424.59459459459
Jan,Madhya Pradesh,Yellow,Gwalior,3278
Jan,Maharashtra,Yellow,Nagpur,3438.87234042553
Jan,Maharashtra,Yellow,Latur,3612.34246575342
Jan,Maharashtra,Yellow,Jalgaon,3582.09090909091
Jan,Maharashtra,Yellow,Jalana,3577.5
Jan,Maharashtra,Yellow,Hingoli,3574.45
Jan,Maharashtra,Yellow,Chandrapur,3597.08823529412
