state,district,esti.prod
Maharastra,Amravati,2.727
Maharastra,Yeotmal,2.578
Maharastra,Akola,1.849
Maharastra,Washim,3.148
Maharastra,Buldhana,3.963
Maharastra,Nagpur,0.719
Maharastra,Wardha,0.886
Maharastra,Chandrapur,0.403
Maharastra,Bhandara,0.003
Maharastra,Gadchiroli,0.001
Maharastra,Latur,3.073
Maharastra,Oushmanabad,2.174
Maharastra,Parbhani,2.101
Maharastra,Hingoli,2.833
Maharastra,Nanded,3.632
Maharastra,Nasik,0.658
Maharastra,Jalgaon,0.183
Maharastra,Dhulia,0.261
Maharastra,Nandurwar,0.189
Maharastra,Pune,0.149
Maharastra,Ahmednagar,0.712
Maharastra,Solapur,0.372
Maharastra,Aurangabad,0.086
Maharastra,Jalna,0.827
Maharastra,Beed,1.518
Maharastra,Kolhapur,0.408
Maharastra,Sangli,0.337
Maharastra,Satara,0.506
Rajasthan,Kota,0.953
Rajasthan,Bundi,0.351
Rajasthan,Baran,1.478
Rajasthan,Sawai,0.037
Rajasthan,Jhalawar,1.223
Rajasthan,Dungarpur,0.263
Rajasthan,Udaipur,0.179
Rajasthan,Banswara,0.418
Rajasthan,Pratapgarh,0.821
Rajasthan,Chittorgarh,0.644
Rajasthan,Bhilwara,0.037
Rajasthan,Tonk,0.156
