State,District,Arrival_date,Variety,Amount Sold,Modal_price
Chattisgarh,Balodabazar,Apr,Other,3.1,2933.333333
Chattisgarh,Balodabazar,Feb,Other,15.5,3182.928571
Chattisgarh,Balodabazar,Jan,Other,6.9,3144.666667
Chattisgarh,Balodabazar,Jul,Other,1.5,3139.75
Chattisgarh,Balodabazar,Jun,Other,1.3,3160.666667
Chattisgarh,Balodabazar,Mar,Other,4.4,2909.625
Chattisgarh,Balodabazar,May,Other,5.3,3099.1
Chattisgarh,Balodabazar,Nov,Other,40.2,3132
Chattisgarh,Balodabazar,Oct,Other,21.9,2930
Chattisgarh,Balodabazar,Sep,Other,2,2952.5
Chattisgarh,Bemetara,Jul,Yellow,113,3333.333333
Chattisgarh,Bemetara,Jun,Yellow,125,3400
Chattisgarh,Bilaspur,Mar,Local,0.8,3000
Chattisgarh,Durg,Apr,Yellow,208.8,3417.5
Chattisgarh,Durg,Aug,Yellow,54,3387.5
Chattisgarh,Durg,Feb,Other,599,3650
Chattisgarh,Durg,Feb,Yellow,599,3529.166667
Chattisgarh,Durg,Jan,Yellow,958.5,3457.333333
Chattisgarh,Durg,Jan,Other,958.5,3411
Chattisgarh,Durg,Jul,Yellow,456,3425
Chattisgarh,Durg,Jun,Yellow,15,3466.666667
Chattisgarh,Durg,Mar,Other,230.6,3298
Chattisgarh,Durg,Mar,Yellow,230.6,3375
Chattisgarh,Durg,May,Yellow,234,3225
Chattisgarh,Durg,Nov,Yellow,579.5,3362.5
Chattisgarh,Durg,Oct,Yellow,985.6,3290
Chattisgarh,Durg,Sep,Yellow,29.6,3400
Chattisgarh,Kabirdham,Apr,Yellow,612.3,3480.117647
Chattisgarh,Kabirdham,Aug,Yellow,131.5,3382.2
Chattisgarh,Kabirdham,Feb,Other,287.3,3100
Chattisgarh,Kabirdham,Feb,Yellow,287.3,3338
Chattisgarh,Kabirdham,Jan,Yellow,242.4,3430.466667
Chattisgarh,Kabirdham,Jul,Yellow,217.7,3440.136364
Chattisgarh,Kabirdham,Jun,Yellow,278.1,3326.8
Chattisgarh,Kabirdham,Mar,Yellow,434.5,3323.85
Chattisgarh,Kabirdham,May,Yellow,279.1,3436.315789
Chattisgarh,Kabirdham,Nov,Yellow,2531.3,3302.833333
Chattisgarh,Kabirdham,Oct,Yellow,1435.8,3389.75
Chattisgarh,Kabirdham,Sep,Yellow,80.4,3411.142857
Chattisgarh,Mungeli,Apr,Yellow,47.8,3364.714286
Chattisgarh,Mungeli,Aug,Yellow,28,3328
Chattisgarh,Mungeli,Feb,Yellow,96.5,3395
Chattisgarh,Mungeli,Jan,Yellow,151.9,3486.75
Chattisgarh,Mungeli,Jul,Yellow,106.3,3375.823529
Chattisgarh,Mungeli,Jun,Yellow,254.1,3358.473684
Chattisgarh,Mungeli,Mar,Yellow,55.7,3320.4375
Chattisgarh,Mungeli,May,Yellow,162.6,3422.818182
Chattisgarh,Mungeli,Nov,Yellow,2049.6,3357.166667
Chattisgarh,Mungeli,Oct,Yellow,1434.6,3347
Chattisgarh,Mungeli,Sep,Yellow,49.5,3338
Chattisgarh,Narayanpur,Jun,Soybean,0.3,2900
Chattisgarh,Raipur,Apr,Yellow,500,3000
Chattisgarh,Raipur,Feb,Soybean,312.9,3456
Chattisgarh,Raipur,Feb,Yellow,312.9,3200
Chattisgarh,Raipur,Jan,Yellow,630.2,3000
Chattisgarh,Raipur,Jan,Soybean,630.2,3242.5
Chattisgarh,Raipur,Jul,Yellow,41.6,3000
Chattisgarh,Raipur,Jul,Soybean,41.6,3556
Chattisgarh,Raipur,Jun,Soybean,39.3,3649
Chattisgarh,Raipur,Mar,Soybean,0.2,2000
Chattisgarh,Raipur,May,Yellow,775.4,3000
Chattisgarh,Raipur,May,Soybean,775.4,3755
Chattisgarh,Rajnandgaon,Apr,Local,4405.8,3572
Chattisgarh,Rajnandgaon,Apr,Soybean,4405.8,3399
Chattisgarh,Rajnandgaon,Apr,Yellow,4405.8,3568.92
Chattisgarh,Rajnandgaon,Aug,Local,2396.4,3565
Chattisgarh,Rajnandgaon,Aug,Other,2396.4,3300
Chattisgarh,Rajnandgaon,Aug,Yellow,2396.4,3551.25
Chattisgarh,Rajnandgaon,Feb,Other,4166.9,3300
Chattisgarh,Rajnandgaon,Feb,Soybean,4166.9,3399.2
Chattisgarh,Rajnandgaon,Feb,Yellow,4166.9,3580.904762
Chattisgarh,Rajnandgaon,Feb,Local,4166.9,3591.1875
Chattisgarh,Rajnandgaon,Jan,Yellow,2946.9,3582.526316
Chattisgarh,Rajnandgaon,Jan,Soybean,2946.9,3399
Chattisgarh,Rajnandgaon,Jan,Other,2946.9,2950
Chattisgarh,Rajnandgaon,Jan,Local,2946.9,3596.166667
Chattisgarh,Rajnandgaon,Jul,Yellow,2320.3,3530.027778
Chattisgarh,Rajnandgaon,Jul,Other,2320.3,3099.8
