,arrival_date,state,district,market,variety,modal_price
1800,Jan,Madhya Pradesh,Sagar,Garhakota,Yellow,3559.0
1779,Jan,Madhya Pradesh,Rajgarh,Khujner,Yellow,3593.6666666666665
1780,Jan,Madhya Pradesh,Rajgarh,Kurawar,Yellow,3660.714285714286
1781,Jan,Madhya Pradesh,Rajgarh,Machalpur,Yellow,3299.8
1782,Jan,Madhya Pradesh,Rajgarh,Narsinghgarh,Other,3700.0
1783,Jan,Madhya Pradesh,Rajgarh,Narsinghgarh,Yellow,3580.0
1784,Jan,Madhya Pradesh,Rajgarh,Pachaur,Yellow,3583.5714285714284
1785,Jan,Madhya Pradesh,Rajgarh,Sarangpur,Yellow,3545.190476190476
1786,Jan,Madhya Pradesh,Rajgarh,Suthalia,Black,3517.777777777778
1787,Jan,Madhya Pradesh,Ratlam,A lot,Yellow,3645.875
1788,Jan,Madhya Pradesh,Ratlam,Jaora,Other,3564.8571428571427
1789,Jan,Madhya Pradesh,Ratlam,Ratlam,Yellow,3604.269230769231
1790,Jan,Madhya Pradesh,Ratlam,Sailana,Other,3574.0
1791,Jan,Madhya Pradesh,Ratlam,Taal,Other,3701.5
1792,Jan,Madhya Pradesh,Ratlam,Taal,Soyabeen,3654.1666666666665
1793,Jan,Madhya Pradesh,Rewa,Baikunthpur,Other,2876.0
1794,Jan,Madhya Pradesh,Rewa,Rewa,Other,3271.5
1795,Jan,Madhya Pradesh,Sagar,Bamora,Yellow,3556.4285714285716
1810,Jan,Madhya Pradesh,Sagar,Sagar,Yellow,3467.8571428571427
1809,Jan,Madhya Pradesh,Sagar,Rehli,Yellow,3466.6666666666665
1808,Jan,Madhya Pradesh,Sagar,Rahatgarh,Yellow,3461.875
1807,Jan,Madhya Pradesh,Sagar,Malthone,Yellow,3216.6666666666665
1806,Jan,Madhya Pradesh,Sagar,Malthone,Other,3150.0
1805,Jan,Madhya Pradesh,Sagar,Khurai,Soyabeen,3406.9285714285716
1778,Jan,Madhya Pradesh,Rajgarh,Khilchipur,Soyabeen,3532.6470588235293
1804,Jan,Madhya Pradesh,Sagar,Kesli,Yellow,3362.5
1802,Jan,Madhya Pradesh,Sagar,Jaisinagar,Soyabeen,3478.5714285714284
1801,Jan,Madhya Pradesh,Sagar,Jaisinagar,Local,3400.0
1799,Jan,Madhya Pradesh,Sagar,Deori,Soyabeen,3399.0
1798,Jan,Madhya Pradesh,Sagar,Bina,Yellow,3497.6666666666665
1797,Jan,Madhya Pradesh,Sagar,Banda,Soyabeen,3390.5833333333335
1796,Jan,Madhya Pradesh,Sagar,Banda,Other,3475.0
1803,Jan,Madhya Pradesh,Sagar,Kesli,Other,3362.5
1811,Jan,Madhya Pradesh,Sagar,Shahagarh,Other,3130.0
1777,Jan,Madhya Pradesh,Rajgarh,Jeerapur,Yellow,3480.769230769231
1775,Jan,Madhya Pradesh,Rajgarh,Biaora,Yellow,3555.3571428571427
1744,Jan,Madhya Pradesh,Khargone,Sanawad,Other,3675.0
1745,Jan,Madhya Pradesh,Khargone,Sanawad,Soyabeen,3540.8823529411766
1746,Jan,Madhya Pradesh,Khargone,Segaon,Other,3137.75
1747,Jan,Madhya Pradesh,Mandsaur,Daloda,Soyabeen,3590.0
1748,Jan,Madhya Pradesh,Mandsaur,Garoth,Other,3508.3333333333335
1749,Jan,Madhya Pradesh,Mandsaur,Mandsaur,Other,3570.0
1750,Jan,Madhya Pradesh,Mandsaur,Piplya,Local,3367.5
1751,Jan,Madhya Pradesh,Mandsaur,Piplya,Other,3575.0
1752,Jan,Madhya Pradesh,Mandsaur,Piplya,Soyabeen,3587.8571428571427
1753,Jan,Madhya Pradesh,Mandsaur,Piplya,Yellow,3583.3333333333335
1754,Jan,Madhya Pradesh,Mandsaur,Shamgarh,Soyabeen,3251.25
1755,Jan,Madhya Pradesh,Mandsaur,Sitmau,Other,3609.375
1756,Jan,Madhya Pradesh,Mandsaur,Suvasra,Other,3395.1111111111113
1757,Jan,Madhya Pradesh,Morena,Kailaras,Yellow,3437.5
1758,Jan,Madhya Pradesh,Morena,Morena,Soyabeen,3475.0
1759,Jan,Madhya Pradesh,Narsinghpur,Gadarwada,Yellow,3220.230769230769
1760,Jan,Madhya Pradesh,Narsinghpur,Gotegaon,Yellow,3188.0
1774,Jan,Madhya Pradesh,Raisen,Udaipura,Other,2950.0
1773,Jan,Madhya Pradesh,Raisen,Silvani,Black,3280.8333333333335
1772,Jan,Madhya Pradesh,Raisen,Raisen,Other,2908.4
1771,Jan,Madhya Pradesh,Raisen,Obedullaganj,Yellow,3212.3333333333335
1770,Jan,Madhya Pradesh,Raisen,Gairatganj,Yellow,3481.714285714286
1769,Jan,Madhya Pradesh,Raisen,Begamganj,Yellow,3400.0
1776,Jan,Madhya Pradesh,Rajgarh,Chhapiheda,Other,3550.1
1768,Jan,Madhya Pradesh,Raisen,Begamganj,Other,3441.6666666666665
1766,Jan,Madhya Pradesh,Panna,Devandranagar,Soyabeen,3305.0
1765,Jan,Madhya Pradesh,Neemuch,Neemuch,Yellow,3648.3333333333335
1764,Jan,Madhya Pradesh,Neemuch,Manasa,Other,3446.176470588235
1763,Jan,Madhya Pradesh,Neemuch,Javad,Other,3423.5
1762,Jan,Madhya Pradesh,Narsinghpur,Narsinghpur,Other,3440.3636363636365
1761,Jan,Madhya Pradesh,Narsinghpur,Kareli,Yellow,3389.4
1767,Jan,Madhya Pradesh,Panna,Panna,Other,3110.0
1743,Jan,Madhya Pradesh,Khargone,Khargone,Other,3610.5238095238096
1812,Jan,Madhya Pradesh,Satna,Nagod,Other,3357.1428571428573
1814,Jan,Madhya Pradesh,Sehore,Ashta,Yellow,3621.0
1850,Jan,Madhya Pradesh,Shivpuri,Shivpuri,Other,3563.1428571428573
1851,Jan,Madhya Pradesh,Tikamgarh,Jatara,Other,3315.0
1852,Jan,Madhya Pradesh,Tikamgarh,Khargapur,Black,3168.75
1853,Jan,Madhya Pradesh,Tikamgarh,Niwadi,Yellow,3537.7272727272725
1854,Jan,Madhya Pradesh,Tikamgarh,Palera,Yellow,3450.0
