Year,District,
2019,Ujjain,
2019,Mandsaur,
2019,Neemuch,
2019,Ratlam,
2019,Dewas,
2019,Shajapur,
2019,Bhopal,
2019,Sehore,
2019,Raisen,
2019,Vidisha,
2019,Rajgarh,
2019,Betul,
2019,Hoshangabad,
2019,Harda,
2019,Indore,
2019,Dhar,
2019,Jhabua,
2019,Alirajpur,
2019,Khargone,2019
2019,Barwani,
2019,Khandwa,
2019,Burhanpur,
2019,Balaghat,
2019,Jabalpur,
2019,Katni,
2019,Chhindwara,
2019,Mandla,
2019,Seoni,
2019,Narsinghpur,
2019,Dindori,
2019,Sagar,
2019,Damoh,
2019,Panna,
2019,Tikamgarh,
2019,Chhattarpur,
2019,Gwalior,
2019,Shivpuri,
2019,Guna,
2019,Ashoknagar,
2019,Datia,
2019,Morena,
2019,Sheopur,
2019,Bhind,
2019,Rewa,
2019,Sidhi,
2019,Satna,
2019,Singrauli,
2019,Shahdol,
2019,Anuppur,
2019,Umaria,
2019,Dindori,
2019,Agar,
