Year,District,Sowing Area(Lakh ha),Estimated Production(Lakh metric tonnes),Soil_types,Altitude(m),Humidity(%),Basins,Rainfall(mm),Max Temperature,Min Temperature,Avg Temperature,Expected Yield(kg/ha)
2010,Ujjain,4.435,5.526,Medium Black,494,70.75,Chambal Basin,713.5,32.5,24,27.75,1246
2010,Mandsaur,2.58,2.83,Medium Black,440,67.25,Chambal Basin,676.8,33.75,25,28.75,1097
2010,Neemuch,1.25,1.489,Medium Black,452,65.25,Chambal Basin,821.7,33.75,25,29,1191
2010,Ratlam,2.046,2.508,Medium Black,480,70.5,Chambal Basin,689,33.25,24.25,28,1226
2010,Dewas,3.181,3.722,Medium Black,535,72.5,Narmada Basin,785.1,32.25,24,27.75,1170
2010,Shajapur,3.39,3.397,Medium Black,445,68.5,Chambal Basin,620.5,33,24.5,28.25,1002
2010,Agar,1.2934,1.2678,Medium Black,171,68.9583333333333,Chambal Basin,499.3,32.1666666666667,24.7083333333333,28.2083333333333,959
2010,Bhopal,0.99,1.02,Medium Black,527,71.25,Betwa Basin,786.1,32.75,24.75,28,1030
2010,Sehore,3.089,3.314,Medium and Deep Black,502,70.75,Chambal Basin,658.1,32.75,24.5,28,1073
2010,Raisen,1.776,1.835,Medium and Deep Black,445,71.25,Betwa Basin,812.5,32.75,25,28.25,1033
2010,Vidisha,2.21,2.484,Medium and Deep Black,424,71.25,Betwa Basin,823.6,32.75,25,28.25,1124
2010,Rajgarh,2.969,3.049,Medium Black,1555,70.5,Chambal Basin,703.5,33.25,24.25,28,1027
2010,Betul,1.96,1.989,Shallow Black,658,78,Narmada Basin,1112.1,30.75,22.75,26.25,1015
2010,Hoshangabad,2.006,2.55,Deep Black,278,72,Narmada Basin,1083.1,33.75,25,28.5,1271
2010,Harda,1.665,1.858,Deep Black,296,72,Narmada Basin,981.9,33.25,25,28.5,1116
2010,Indore,2.265,2.589,Medium Black,550,73,Chambal Basin,958.8,32.25,24.25,27.75,1143
2010,Dhar,2.56,2.706,Medium Black,559,73.75,Narmada Basin,828.5,32.5,24.25,27.75,1057
