Year,District,Sowing Area,Expected Yield,Estimated Production,Altitude/M,,,,,,,,,,,,,,,,,,,,,,,,Estimated Productionÿ
2010,Ujjain,4.435,1246,5.526,494,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mandsaur,2.58,1097,2.83,440,,,,,,,,,,,,,,,,,,,,,,,,
2010,Neemuch,1.25,1191,1.489,452,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ratlam,2.046,1226,2.508,480,,,,,,,,,,,,,,,,,,,,,,,,
2010,Dewas,3.181,1170,3.722,535,,,,,,,,,,,,,,,,,,,,,,,,
2010,Shajapur,3.39,1002,3.397,445,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bhopal,0.99,1030,1.02,527,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sehore,3.089,1073,3.314,502,,,,,,,,,,,,,,,,,,,,,,,,
2010,Raisen,1.776,1033,1.835,445,,,,,,,,,,,,,,,,,,,,,,,,
2010,Vidisha,2.21,1124,2.484,424,,,,,,,,,,,,,,,,,,,,,,,,
2010,Rajgarh,2.969,1027,3.049,1555,,,,,,,,,,,,,,,,,,,,,,,,
2010,Betul,1.96,1015,1.989,658,,,,,,,,,,,,,,,,,,,,,,,,
2010,Hoshangabad,2.006,1271,2.55,278,,,,,,,,,,,,,,,,,,,,,,,,
2010,Harda,1.665,1116,1.858,296,,,,,,,,,,,,,,,,,,,,,,,,
2010,Indore,2.265,1143,2.589,550,,,,,,,,,,,,,,,,,,,,,,,,
2010,Dhar,2.56,1057,2.706,559,,,,,,,,,,,,,,,,,,,,,,,,
2010,Jhabua,0.51,1020,0.52,318,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alirajpur,0.131,1046,0.137,288,,,,,,,,,,,,,,,,,,,,,,,,
2010,Khargone,0.557,1147,0.639,258,,,,,,,,,,,,,,,,,,,,,,,,
2010,Badwani,0.319,1100,0.351,178,,,,,,,,,,,,,,,,,,,,,,,,
2010,Khandwa,1.456,1171,1.705,309,,,,,,,,,,,,,,,,,,,,,,,,
2010,Burahanpur,0.151,1146,0.173,247,,,,,,,,,,,,,,,,,,,,,,,,
2010,Balaghat,0.3,1200,0.36,318,,,,,,,,,,,,,,,,,,,,,,,,
2010,Jabalpur,0.048,1021,0.049,412,,,,,,,,,,,,,,,,,,,,,,,,
2010,Katni,0.016,1063,0.017,304,,,,,,,,,,,,,,,,,,,,,,,,
2010,Chhindwara,1.66,1092,1.813,675,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mandla,0.025,920,0.023,445,,,,,,,,,,,,,,,,,,,,,,,,
2010,Seoni,1.086,1150,1.249,611,,,,,,,,,,,,,,,,,,,,,,,,
2010,Narsinghpur,0.994,1013,1.007,347,,,,,,,,,,,,,,,,,,,,,,,,
2010,Dindori,0.08,1050,0.084,640,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sagar,3.151,1072,3.378,427,,,,,,,,,,,,,,,,,,,,,,,,
2010,Damoh,0.551,1016,0.56,595,,,,,,,,,,,,,,,,,,,,,,,,
2010,Panna,0.14,979,0.137,410,,,,,,,,,,,,,,,,,,,,,,,,
2010,Tikamgarh,0.41,1044,0.428,349,,,,,,,,,,,,,,,,,,,,,,,,
2010,Chattarpur,0.335,1131,0.379,305,,,,,,,,,,,,,,,,,,,,,,,,
2010,Gwalior,0.01,900,0.009,211,,,,,,,,,,,,,,,,,,,,,,,,
2010,Shivpuri,0.95,1041,0.989,468,,,,,,,,,,,,,,,,,,,,,,,,
2010,Guna,1.93,1070,2.065,474,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ashoknagar,0.923,1073,0.99,499,,,,,,,,,,,,,,,,,,,,,,,,
2010,Datia,0.001,1000,0.001,420,,,,,,,,,,,,,,,,,,,,,,,,
2010,Morena,0.004,1000,0.004,177,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sheopur Kalan,0.14,1021,0.143,456,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bhind,-,-,-,192,,,,,,,,,,,,,,,,,,,,,,,,
2010,Rewa,0.383,950,0.364,304,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sidhi,0.02,950,0.019,272,,,,,,,,,,,,,,,,,,,,,,,,
2010,Satna,0.393,975,0.383,315,,,,,,,,,,,,,,,,,,,,,,,,
2010,Singhroli,0.002,1000,0.002,609,,,,,,,,,,,,,,,,,,,,,,,,
2010,Shahdol,0.096,1021,0.098,464,,,,,,,,,,,,,,,,,,,,,,,,
2010,Anooppur,0.035,943,0.033,505,,,,,,,,,,,,,,,,,,,,,,,,
2010,Umaria,0.014,1000,0.014,2430,,,,,,,,,,,,,,,,,,,,,,,,
2010,Dindori,0.08,1050,0.084,640,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ujjain,4.537,1161,5.267,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Mandsaur,2.58,1175,3.032,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Neemuch,1.201,1383,1.661,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ratlam,2.116,1140,2.412,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Dewas,3.131,1213,3.798,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Shajapur,3.401,1170,3.979,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Bhopal,1.027,980,1.006,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Sehore,3.025,773,2.338,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Raisen,1.535,780,1.197,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Vidisha,2.51,843,2.115,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Rajgarh,3.026,1341,4.058,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Betul,2.05,904,1.853,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Hoshangabad,2.057,670,1.378,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Harda,1.71,575,0.984,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Indore,2.408,1077,2.593,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Dhar,2.6,1241,3.227,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Jhabua,0.483,1075,0.519,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alirajpur,0.157,1051,0.165,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Khargone,0.4,1120,0.448,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Badwani,0.305,1121,0.342,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Khandwa,1.585,1207,1.913,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Burahanpur,0.147,1109,0.163,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Balaghat,0.006,1167,0.007,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Jabalpur,0.152,1171,0.178,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Katni,0.017,1059,0.018,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Chhindwara,1.89,1130,2.136,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Mandla,0.024,958,0.023,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Seoni,1.171,1050,1.23,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Narsinghpur,1.015,1057,1.073,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Dindori,0.109,954,0.104,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Sagar,2.88,1078,3.105,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Damoh,0.607,947,0.575,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Panna,0.395,975,0.385,,,,,,,,,,,,,,,,,,,,,,,,,
