Year,District,Sowing Area( hactare),Estimated Production( metric tonnes),Soil_types,Basins
2010,Jabalpur,95395,158625,Deep Black,Narmada Basin
2010,Katni,66642,70815,"Mixed Red and Black, Deep Black",Ken Basin
2010,Balaghat,14689,19492,Red and Yellow,Wainganga Basin
2010,Chindwara,111114,425244,Shallow Black,Wainganga Basin
2010,Seoni,108784,90484,Mixed Red and Black,Narmada Basin
2010,Mandla,29737,23004,Red and Yellow Medium Black,Narmada Basin
2010,Narshinghpur,65069,169418,Deep Black,Narmada Basin
2010,Sagar,172960,244514,Medium and Deep Black,Betwa Basin
2010,Damoh,72082,136316,Medium and Deep Black,Ken Basin
2010,Panna,68249,97074,"Mixed Red and Black, Deep Black",Ken Basin
2010,Tikamgarh,100959,168328,Mixed Red and Black,Betwa Basin
2010,Chhatarpur,142689,203935,Mixed Red and Black,Betwa Basin
2010,Rewa,155731,158014,Medium and Black,Tons Basin
2010,Sidhi,55104,45403,Red and Yellow,Son Basin
2010,Singrouli,32340,34956,"Red soil, Alluvial & Lateritic soil",Son Basin
2010,Satna,143238,173098,Mixed Red and Black,Tons Basin
2010,Shahdol,24140,16849,Red and Yellow Medium Black,Son Basin
2010,Anuppur,13072,8778,Red and Yellow Medium Black,Son Basin
2010,Umaria,26237,20476,Red and Yellow Medium Black,Son Basin
2010,Dindori,31749,19070,Red and yellow,Narmada Basin
2010,Bhopal,72028,147055,Medium Black,Betwa Basin
2010,Sehore,192079,401066,Medium and Deep Black,Chambal Basin
2010,Raisen,185266,376514,Medium and Deep Black,Betwa Basin
2010,Vidisha,198099,370361,Medium and Deep Black,Betwa Basin
2010,Rajgarh,77694,145348,Medium Black,Chambal Basin
2010,Indore,101511,220142,Medium Black,Chambal Basin
2010,Dhar,158890,354861,Medium Black,Narmada Basin
2010,Jhabua,23901,44554,Medium Black,Narmada Basin
2010,Alirajpur,13700,24847,Alluvium,Narmada Basin
2010,Khargone,82828,224946,Medium Black,Narmada Basin
2010,Barwani,31879,49080,Medium Black,Narmada Basin
2010,Khandwa,72002,120084,Medium Black,Narmada Basin
2010,Burhanpur,10799,19398,Medium Black,Tapti Basin
2010,Ujjain,128916,318571,Medium Black,Chambal Basin
2010,Mandsour,63723,156950,Medium Black,Chambal Basin
2010,Neemuch,29213,61841,Medium Black,Chambal Basin
2010,Ratlam,74317,218287,Medium Black,Chambal Basin
2010,Dewas,99107,247949,Medium Black,Narmada Basin
2010,Shajapur,83862,221344,Medium Black,Chambal Basin
2010,Morena,81506,179778,Alluvium,Sindh Basin
2010,Sheopur,47120,144007,Alluvium,Chambal Basin
2010,Bhind,84642,214197,Alluvium,Sindh Basin
2010,Gwalior,83400,189873,Alluvium,Sindh Basin
2010,Shivpuri,139816,250416,Alluvium,Chambal Basin
2010,Guna,79261,127375,Alluvium,Chambal Basin
2010,Ashoknagar,109105,173044,Alluvium,Sindh Basin
2010,Betul,123889,290873,Shallow Black,Narmada Basin
2010,Datia,116695,181637,Mixed Red and Black,Sindh Basin
2010,Hoshangabad,232477,700109,Deep Black,Narmada Basin
2010,Harda,131290,406978,Deep Black,Narmada Basin
2011,Jabalpur,95775,280496,Deep Black,Narmada Basin
2011,Katni,66945,59027,"Mixed Red and Black, Deep Black",Ken Basin
2011,Balaghat,15102,22942,Red and Yellow,Wainganga Basin
2011,Chindwara,114454,388857,Shallow Black,Wainganga Basin
2011,Seoni,111663,102116,Mixed Red and Black,Narmada Basin
