Date,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Arrival/Quintol,Yield,Rainfall/mm,MSP/quintal,Modal Price (Rs./Quintal)
04-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2700,3005,2133.7,815,0,3050,2839
06-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2700,3000,2133.7,815,0,3050,2950
07-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2730,2996,2133.7,815,0,3050,2850
09-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2681,2903,2133.7,815,0,3050,2825
10-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2675,2888,2133.7,815,0,3050,2775
11-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2752,3221,2133.7,815,0,3050,2870
12-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2700,2934,2133.7,815,0,3050,2825
13-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2696,2960,2133.7,815,0,3050,2811
16-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2782,3010,2133.7,815,0,3050,2803
17-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2811,3025,2133.7,815,0,3050,2811
20-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2700,3026,2133.7,815,0,3050,2908
21-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2802,2985,2133.7,815,0,3050,2840
23-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2681,3000,2133.7,815,0,3050,2821
25-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2700,2909,2133.7,815,0,3050,2850
27-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2750,2910,2133.7,815,0,3050,2825
28-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2750,3061,2133.7,815,0,3050,2846
30-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2700,2899,2133.7,815,0,3050,2800
31-Jan-17,Sanwer,Soyabean,Yellow,FAQ,2751,2884,2133.7,815,0,3050,2850
01-Feb-17,Sanwer,Soyabean,Yellow,FAQ,2700,2851,1778.1,815,0,3050,2775
02-Feb-17,Sanwer,Soyabean,Yellow,FAQ,2800,2941,1778.1,815,0,3050,2810
