District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2712,4047,3919,28 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2600,4076,3908,27 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3124,4073,3975,24 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3685,4095,3925,23 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3356,4075,3853,20 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3361,4060,3923,19 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3339,4040,3927,18 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3052,4010,3836,17 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2206,3988,3873,16 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3006,4018,3888,12 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3075,4001,3836,11 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3664,4009,3889,10 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3610,3969,3888,09 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3676,3891,3779,07 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,1981,3860,3576,06 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2656,3986,3756,05 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3512,3760,3590,04 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3233,3706,3562,03 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2162,3676,3483,02 Dec 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2112,3795,3642,30 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3026,3815,3636,29 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3121,3813,3639,27 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2535,3835,3585,25 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2563,3793,3675,23 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2323,3955,3812,21 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2132,3973,3868,20 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,3193,3955,3689,19 Nov 2019
Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2703,3978,3789,18 Nov 2019
