,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date
1937,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4000.0,4050.0,4025.0,30 Dec 2019
1938,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4000.0,4100.0,4050.0,26 Dec 2019
1939,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4050.0,4170.0,4110.0,23 Dec 2019
1940,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4075.0,4075.0,4075.0,20 Dec 2019
1941,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4075.0,4075.0,4075.0,18 Dec 2019
1942,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4000.0,4000.0,4000.0,14 Dec 2019
1943,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,3950.0,3950.0,3950.0,13 Dec 2019
1944,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4005.0,4005.0,4005.0,12 Dec 2019
1945,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,3955.0,3955.0,3955.0,11 Dec 2019
1946,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,3950.0,4000.0,3975.0,10 Dec 2019
1947,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,3950.0,3950.0,3950.0,05 Dec 2019
1948,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4040.0,4040.0,4040.0,29 Nov 2019
1949,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4455.0,4755.0,4605.0,01 Nov 2019
1950,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4000.0,4000.0,4000.0,10 Oct 2019
1951,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4555.0,4555.0,4555.0,07 Oct 2019
1952,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,4500.0,5075.0,4785.0,26 Sep 2019
1953,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5420.0,5420.0,5420.0,17 Sep 2019
1954,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5440.0,5440.0,5440.0,16 Sep 2019
1955,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5440.0,5450.0,5445.0,30 Aug 2019
1956,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5425.0,5435.0,5430.0,29 Aug 2019
1957,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5440.0,5460.0,5450.0,27 Aug 2019
1958,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5375.0,5375.0,5375.0,13 Aug 2019
1959,Banaskanth,Amirgadh,Castor Seed,Other,FAQ,5360.0,5370.0,5365.0,08 Aug 2019
