,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,1,Ratlam,A lot,Maize,Other,FAQ,1623,1623,1623,19 Nov 2019
2,2,Ratlam,A lot,Maize,Other,FAQ,1851,1851,1851,05 Nov 2019
3,3,Ratlam,A lot,Maize,Other,FAQ,1859,1870,1865,04 Feb 2019
4,4,Ratlam,A lot,Maize,Other,FAQ,1862,1862,1862,31 Jan 2019
5,5,Ratlam,A lot,Maize,Other,FAQ,1801,1801,1801,29 Jan 2019
6,6,Ratlam,A lot,Maize,Other,FAQ,1741,1741,1741,19 Jan 2019
7,7,Ratlam,A lot,Maize,Other,FAQ,1600,1611,1611,15 Jan 2019
8,8,Ratlam,A lot,Maize,Other,FAQ,1633,1633,1633,08 Jan 2019
9,9,Ratlam,A lot,Maize,Other,FAQ,1617,1617,1617,07 Jan 2019
10,10,Ratlam,A lot,Maize,Other,FAQ,1590,1590,1590,05 Jan 2019
11,11,Ratlam,A lot,Maize,Other,FAQ,1604,1604,1604,04 Jan 2019
12,12,Ratlam,A lot,Maize,Other,FAQ,1601,1601,1601,02 Jan 2019
13,13,Ratlam,A lot,Maize,Other,FAQ,1616,1616,1616,31 Dec 2018
14,14,Ratlam,A lot,Maize,Other,FAQ,1627,1627,1627,27 Dec 2018
15,15,Ratlam,A lot,Maize,Other,FAQ,1600,1600,1600,24 Dec 2018
16,16,Ratlam,A lot,Maize,Other,FAQ,1640,1670,1650,20 Dec 2018
17,17,Ratlam,A lot,Maize,Other,FAQ,1679,1679,1679,19 Dec 2018
18,18,Ratlam,A lot,Maize,Other,FAQ,1616,1639,1639,18 Dec 2018
19,19,Ratlam,A lot,Maize,Other,FAQ,1630,1630,1630,17 Dec 2018
20,20,Ratlam,A lot,Maize,Other,FAQ,1591,1591,1591,15 Dec 2018
21,21,Ratlam,A lot,Maize,Other,FAQ,1582,1604,1604,13 Dec 2018
22,22,Ratlam,A lot,Maize,Other,FAQ,1461,1461,1461,12 Dec 2018
23,23,Ratlam,A lot,Maize,Other,FAQ,1475,1500,1500,07 Dec 2018
24,24,Ratlam,A lot,Maize,Other,FAQ,1470,1481,1480,06 Dec 2018
25,25,Ratlam,A lot,Maize,Other,FAQ,1499,1500,1500,05 Dec 2018
26,26,Ratlam,A lot,Maize,Other,FAQ,1495,1498,1497,03 Dec 2018
27,27,Ratlam,A lot,Maize,Other,FAQ,1489,1506,1500,01 Dec 2018
28,28,Ratlam,A lot,Maize,Other,FAQ,1421,1421,1421,30 Nov 2018
29,29,Ratlam,A lot,Maize,Other,FAQ,1449,1449,1449,22 Nov 2018
30,30,Ratlam,A lot,Maize,Other,FAQ,1225,1225,1225,20 Nov 2018
31,31,Ratlam,A lot,Maize,Other,FAQ,1370,1372,1372,19 Nov 2018
32,32,Ratlam,A lot,Maize,Other,FAQ,1153,1374,1374,16 Nov 2018
33,33,Ratlam,A lot,Maize,Other,FAQ,1334,1365,1365,15 Nov 2018
34,34,Ratlam,A lot,Maize,Other,FAQ,1221,1221,1221,09 Jul 2018
35,35,Ratlam,A lot,Maize,Other,FAQ,1111,1111,1111,05 Jul 2018
36,36,Ratlam,A lot,Maize,Other,FAQ,1111,1111,1111,08 Jun 2018
37,37,Ratlam,A lot,Maize,Other,FAQ,1000,1160,1111,02 Jun 2018
38,38,Ratlam,A lot,Maize,Other,FAQ,1075,1101,1090,25 May 2018
39,39,Ratlam,A lot,Maize,Other,FAQ,1100,1100,1100,10 May 2018
40,40,Ratlam,A lot,Maize,Other,FAQ,1212,1224,1213,10 Apr 2018
41,41,Ratlam,A lot,Maize,Other,FAQ,1140,1140,1140,14 Mar 2018
42,42,Ratlam,A lot,Maize,Other,FAQ,1170,1210,1195,06 Mar 2018
43,43,Ratlam,A lot,Maize,Other,FAQ,1125,1125,1125,26 Feb 2018
44,44,Ratlam,A lot,Maize,Other,FAQ,1075,1075,1075,17 Feb 2018
45,45,Ratlam,A lot,Maize,Other,FAQ,1075,1100,1100,15 Feb 2018
46,46,Ratlam,A lot,Maize,Other,FAQ,1075,1075,1075,07 Feb 2018
47,47,Ratlam,A lot,Maize,Other,FAQ,1150,1200,1200,05 Feb 2018
48,48,Ratlam,A lot,Maize,Other,FAQ,1111,1111,1111,03 Feb 2018
49,49,Ratlam,A lot,Maize,Other,FAQ,1050,1050,1050,24 Jan 2018
50,50,Ratlam,A lot,Maize,Other,FAQ,1070,1070,1070,17 Jan 2018
51,51,Ratlam,A lot,Maize,Other,FAQ,1083,1083,1083,15 Jan 2018
