Date,Modal Price (Rs./Quintal)
20 Nov 2019,1705
29 Jun 2019,2150
01 May 2019,1800
31 Dec 2018,1200
18 Dec 2018,1715
26 Nov 2018,1250
22 Nov 2018,1250
19 Nov 2018,1250
17 Nov 2018,1250
13 Nov 2018,1200
03 Nov 2018,1105
30 Oct 2018,1201
25 Oct 2018,1196
18 Sep 2018,1425
08 Dec 2017,1155
20 Nov 2017,985
01 Nov 2017,1060
27 Mar 2017,1365
21 Jan 2017,1370
03 Jan 2017,1250
01 Jan 2020,1900
31 Dec 2019,1900
30 Dec 2019,1900
27 Dec 2019,1900
24 Dec 2019,1900
23 Dec 2019,1900
21 Dec 2019,1900
19 Dec 2019,1900
18 Dec 2019,1900
17 Dec 2019,1900
16 Dec 2019,1870
13 Dec 2019,1800
12 Dec 2019,1800
11 Dec 2019,1800
10 Dec 2019,1800
09 Dec 2019,1800
07 Dec 2019,1800
06 Dec 2019,1800
05 Dec 2019,1800
04 Dec 2019,1800
03 Dec 2019,1800
02 Dec 2019,1840
30 Nov 2019,1800
29 Nov 2019,1850
28 Nov 2019,1865
27 Nov 2019,1855
25 Nov 2019,1700
23 Nov 2019,1700
21 Nov 2019,1600
20 Nov 2019,1600
19 Nov 2019,1500
18 Nov 2019,1500
16 Nov 2019,1824
15 Nov 2019,1900
14 Nov 2019,1900
13 Nov 2019,1900
12 Nov 2019,1900
11 Nov 2019,1900
08 Nov 2019,1900
06 Nov 2019,1900
05 Nov 2019,1900
04 Nov 2019,1900
02 Nov 2019,1900
01 Nov 2019,1800
31 Oct 2019,2077
30 Oct 2019,1800
24 Oct 2019,1761
23 Oct 2019,1800
22 Oct 2019,1800
21 Oct 2019,1800
19 Oct 2019,1827
18 Oct 2019,1947
17 Oct 2019,1832
16 Oct 2019,1885
15 Oct 2019,2100
14 Oct 2019,2100
11 Oct 2019,1701
10 Oct 2019,2013
08 Oct 2019,1800
03 Oct 2019,2270
01 Oct 2019,2176
30 Sep 2019,1672
27 Sep 2019,2148
25 Sep 2019,1615
24 Sep 2019,2379
23 Sep 2019,2118
21 Sep 2019,2241
20 Sep 2019,2190
19 Sep 2019,2350
18 Sep 2019,2251
17 Sep 2019,2083
16 Sep 2019,2207
10 Sep 2019,2250
07 Sep 2019,2060
06 Sep 2019,2365
05 Sep 2019,2201
04 Sep 2019,2200
31 Aug 2019,2245
29 Aug 2019,1625
28 Aug 2019,2223
27 Aug 2019,2338
26 Aug 2019,2300
23 Aug 2019,872
21 Aug 2019,2202
20 Aug 2019,2281
19 Aug 2019,2262
17 Aug 2019,2300
16 Aug 2019,2660
13 Aug 2019,2323
09 Aug 2019,2351
07 Aug 2019,2335
06 Aug 2019,2300
05 Aug 2019,2102
03 Aug 2019,2205
02 Aug 2019,2175
31 Jul 2019,2170
30 Jul 2019,2250
29 Jul 2019,2176
26 Jul 2019,2201
25 Jul 2019,1990
24 Jul 2019,2250
23 Jul 2019,2260
22 Jul 2019,2240
20 Jul 2019,2255
19 Jul 2019,2254
18 Jul 2019,2251
17 Jul 2019,2261
16 Jul 2019,2284
15 Jul 2019,2235
11 Jul 2019,2221
10 Jul 2019,2268
09 Jul 2019,2243
08 Jul 2019,2012
06 Jul 2019,2200
05 Jul 2019,2200
04 Jul 2019,2271
03 Jul 2019,2100
01 Jul 2019,2174
28 Jun 2019,2197
27 Jun 2019,1981
25 Jun 2019,2029
24 Jun 2019,2043
15 Jun 2019,1876
14 Jun 2019,2020
13 Jun 2019,1850
12 Jun 2019,1658
10 Jun 2019,1779
07 Jun 2019,1765
06 Jun 2019,1851
05 Jun 2019,1900
04 Jun 2019,1800
31 May 2019,1926
30 May 2019,2031
29 May 2019,1915
28 May 2019,2031
27 May 2019,1825
25 May 2019,1850
24 May 2019,1800
22 May 2019,1999
21 May 2019,1950
20 May 2019,1940
14 May 2019,1850
13 May 2019,1800
09 May 2019,1976
06 May 2019,1997
03 May 2019,2000
01 May 2019,2051
30 Apr 2019,2065
29 Apr 2019,2116
27 Apr 2019,2081
26 Apr 2019,2110
25 Apr 2019,2150
22 Apr 2019,2100
20 Apr 2019,2200
15 Apr 2019,2000
12 Apr 2019,2100
11 Apr 2019,2100
04 Apr 2019,2000
02 Apr 2019,2000
29 Mar 2019,1900
28 Mar 2019,2089
27 Mar 2019,1940
23 Mar 2019,2015
22 Mar 2019,1972
20 Mar 2019,2001
19 Mar 2019,1854
18 Mar 2019,1800
16 Mar 2019,1830
14 Mar 2019,1890
08 Mar 2019,1975
07 Mar 2019,1968
05 Mar 2019,1874
02 Mar 2019,1846
01 Mar 2019,1870
28 Feb 2019,1951
27 Feb 2019,1976
26 Feb 2019,2000
25 Feb 2019,2000
23 Feb 2019,1820
21 Feb 2019,1960
20 Feb 2019,1995
19 Feb 2019,1990
18 Feb 2019,1905
16 Feb 2019,1991
15 Feb 2019,1999
14 Feb 2019,2000
13 Feb 2019,2000
12 Feb 2019,2099
09 Feb 2019,2101
08 Feb 2019,2066
07 Feb 2019,1900
06 Feb 2019,2040
05 Feb 2019,2000
31 Jan 2019,1849
30 Jan 2019,1860
29 Jan 2019,1760
28 Jan 2019,1750
24 Jan 2019,1750
22 Jan 2019,1799
21 Jan 2019,1753
19 Jan 2019,1750
18 Jan 2019,1750
17 Jan 2019,1750
16 Jan 2019,1750
15 Jan 2019,1700
12 Jan 2019,1750
11 Jan 2019,1700
10 Jan 2019,1675
09 Jan 2019,1650
08 Jan 2019,1650
04 Jan 2019,1650
03 Jan 2019,1600
02 Jan 2019,1588
01 Jan 2019,1586
31 Dec 2018,1600
29 Dec 2018,1500
28 Dec 2018,1600
27 Dec 2018,1650
26 Dec 2018,1650
25 Dec 2018,1650
24 Dec 2018,1650
22 Dec 2018,1645
21 Dec 2018,1600
20 Dec 2018,1600
19 Dec 2018,1673
18 Dec 2018,1600
17 Dec 2018,1575
15 Dec 2018,1600
14 Dec 2018,1500
13 Dec 2018,1550
12 Dec 2018,1500
10 Dec 2018,1505
08 Dec 2018,1500
06 Dec 2018,1450
05 Dec 2018,1470
03 Dec 2018,1448
01 Dec 2018,1350
30 Nov 2018,1481
24 Nov 2018,1400
23 Nov 2018,1350
22 Nov 2018,1300
21 Nov 2018,1300
20 Nov 2018,1400
19 Nov 2018,1250
17 Nov 2018,1300
16 Nov 2018,1250
15 Nov 2018,1250
13 Nov 2018,1200
10 Nov 2018,1200
03 Nov 2018,1200
31 Oct 2018,1200
30 Oct 2018,1200
29 Oct 2018,1200
27 Oct 2018,1200
26 Oct 2018,1300
25 Oct 2018,1300
22 Oct 2018,1300
20 Oct 2018,1300
18 Oct 2018,1173
16 Oct 2018,1421
15 Oct 2018,1421
11 Oct 2018,1365
08 Oct 2018,1445
05 Oct 2018,1431
04 Oct 2018,1043
01 Oct 2018,1392
28 Sep 2018,1411
26 Sep 2018,1201
25 Sep 2018,1335
22 Sep 2018,1029
21 Sep 2018,1002
20 Sep 2018,1516
18 Sep 2018,1340
17 Sep 2018,1438
15 Sep 2018,1394
31 Aug 2018,1337
28 Aug 2018,1340
27 Aug 2018,1351
25 Aug 2018,1364
24 Aug 2018,1272
21 Aug 2018,1400
20 Aug 2018,1311
18 Aug 2018,1490
14 Aug 2018,1261
13 Aug 2018,1380
09 Aug 2018,1418
07 Aug 2018,1367
06 Aug 2018,1375
04 Aug 2018,1255
03 Aug 2018,1361
01 Aug 2018,1170
21 Jul 2018,1316
19 Jul 2018,1318
18 Jul 2018,1334
16 Jul 2018,1275
14 Jul 2018,2089
12 Jul 2018,1283
11 Jul 2018,1400
10 Jul 2018,1391
09 Jul 2018,1285
06 Jul 2018,1200
05 Jul 2018,1411
03 Jul 2018,1345
02 Jul 2018,1226
30 Jun 2018,1351
29 Jun 2018,1263
28 Jun 2018,1271
27 Jun 2018,1307
26 Jun 2018,1360
25 Jun 2018,1148
20 Jun 2018,1308
19 Jun 2018,1391
18 Jun 2018,1290
15 Jun 2018,1475
14 Jun 2018,1327
12 Jun 2018,1274
11 Jun 2018,1130
09 Jun 2018,1314
08 Jun 2018,1333
06 Jun 2018,700
05 Jun 2018,1201
30 May 2018,1171
29 May 2018,1050
28 May 2018,1100
25 May 2018,1265
22 May 2018,1270
21 May 2018,1291
19 May 2018,1271
18 May 2018,1250
17 May 2018,1256
16 May 2018,1190
14 May 2018,1100
11 May 2018,1160
10 May 2018,1075
09 May 2018,1193
08 May 2018,1276
07 May 2018,1171
27 Apr 2018,1146
26 Apr 2018,1124
25 Apr 2018,1180
23 Apr 2018,1125
19 Apr 2018,853
18 Apr 2018,1100
17 Apr 2018,1126
13 Apr 2018,1175
12 Apr 2018,900
11 Apr 2018,1188
10 Apr 2018,1145
09 Apr 2018,1150
07 Apr 2018,1100
06 Apr 2018,1226
05 Apr 2018,1151
04 Apr 2018,1260
03 Apr 2018,1114
02 Apr 2018,1105
28 Mar 2018,1000
27 Mar 2018,1144
26 Mar 2018,1118
24 Mar 2018,1156
23 Mar 2018,1180
21 Mar 2018,1207
20 Mar 2018,1226
16 Mar 2018,1201
15 Mar 2018,1091
14 Mar 2018,1151
10 Mar 2018,1135
09 Mar 2018,1183
07 Mar 2018,1100
05 Mar 2018,1134
03 Mar 2018,1130
01 Mar 2018,1132
28 Feb 2018,1127
27 Feb 2018,1189
26 Feb 2018,1244
23 Feb 2018,1141
22 Feb 2018,1177
21 Feb 2018,1173
20 Feb 2018,1120
19 Feb 2018,1150
16 Feb 2018,1146
10 Feb 2018,1172
08 Feb 2018,1130
07 Feb 2018,1150
06 Feb 2018,1157
05 Feb 2018,1173
03 Feb 2018,1162
02 Feb 2018,1185
01 Feb 2018,1142
31 Jan 2018,1152
30 Jan 2018,1130
29 Jan 2018,1154
27 Jan 2018,1144
25 Jan 2018,1138
24 Jan 2018,1141
23 Jan 2018,1158
