District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,20 Feb 2018
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,19 Oct 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9800,05 Oct 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9700,9350,21 Sep 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,19 Sep 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9600,9350,16 Sep 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,31 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9600,9350,17 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9600,9350,10 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9600,9350,07 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9600,9350,06 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9500,9000,03 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9500,9000,01 Aug 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9800,9350,29 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9700,9350,26 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9700,9350,25 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9750,9350,23 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9750,9350,20 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9700,9350,19 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9650,9350,17 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9650,9350,13 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9650,9350,12 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9600,9000,11 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9500,9000,10 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9500,9000,06 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9600,9000,04 Jul 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9750,9000,29 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9650,9000,28 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9650,9000,27 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9650,9000,22 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9500,9000,21 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9800,9000,20 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9850,9000,18 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9800,9000,16 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9850,9350,15 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,9600,9350,12 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9800,9350,10 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8500,9500,9000,08 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9500,9000,07 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9600,9000,05 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9500,9000,04 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9600,9000,01 Jun 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9600,9000,31 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9600,9000,30 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9500,9000,29 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8600,9600,9000,26 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8800,9500,9000,25 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8800,9500,9000,24 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,8800,10000,9000,23 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,22 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9650,20 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,18 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,16 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,14 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,06 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,04 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,03 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9500,10500,10000,01 May 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9500,10500,10000,27 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9500,10500,10000,25 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,24 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,17 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,16 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,13 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,12 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,10 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,09 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,08 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,06 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,05 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,04 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,03 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10500,10000,02 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9700,01 Apr 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10500,10000,30 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,29 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,28 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,26 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9700,23 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9750,21 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9750,19 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,16 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,15 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9500,10000,9800,13 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9300,10500,9600,09 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9500,10500,9800,08 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9600,10500,10000,07 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9600,10500,10000,06 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9600,10500,10000,04 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9500,10000,9800,02 Mar 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,27 Feb 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9300,10000,9600,25 Feb 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9350,10000,9600,23 Feb 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9600,22 Feb 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,19 Feb 2017
Barpeta,Bohorihat,Mustard Oil,Other,FAQ,9000,10000,9500,18 Feb 2017
