,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date
43360,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9850.0,9900.0,9870.0,28 Dec 2019
43361,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9900.0,9940.0,9920.0,25 Dec 2019
43362,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9880.0,9920.0,9900.0,24 Dec 2019
43363,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9860.0,9940.0,9880.0,23 Dec 2019
43364,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9860.0,9900.0,9880.0,22 Dec 2019
43365,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9860.0,9920.0,9880.0,21 Dec 2019
43366,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9880.0,9950.0,9920.0,20 Dec 2019
43367,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9820.0,9850.0,9830.0,19 Dec 2019
43368,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9820.0,9850.0,9830.0,08 Dec 2019
43369,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9840.0,9880.0,9860.0,07 Dec 2019
43370,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9830.0,9880.0,9860.0,06 Dec 2019
43371,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9820.0,9870.0,9850.0,05 Dec 2019
43372,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9850.0,9880.0,9860.0,04 Dec 2019
43373,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9850.0,9900.0,9880.0,03 Dec 2019
43374,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9850.0,9880.0,9870.0,02 Dec 2019
43375,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9880.0,9920.0,9900.0,01 Dec 2019
43376,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9840.0,9900.0,9880.0,30 Nov 2019
43377,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9860.0,9900.0,9880.0,29 Nov 2019
43378,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9830.0,9880.0,9860.0,28 Nov 2019
43379,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9860.0,9920.0,9880.0,27 Nov 2019
43380,Puruliya,Balarampur,Mustard Oil,Other,FAQ,9880.0,9940.0,9900.0,26 Nov 2019
