,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
0,2 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2950,2850
2,3 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3100,2900
6,4 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2600,3040,2880
10,5 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2560,3080,2880
12,6 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2560,3120,2975
20,9 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,1525,2990,2905
24,10 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2990,2850
28,11 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2970,2900
32,12 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3090,2925
36,13 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2990,2850
42,16 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3020,2900
46,17 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3040,2900
50,18 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3050,2900
53,19 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2550,3070,2950
56,20 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3085,2850
60,21 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2990,2860
67,24 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3000,2900
75,28 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2950,2850
80,30 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3005,2880
84,31 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,1400,3025,2875
92,3 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2555,3010,2900
96,4 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2975,2975
100,6 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2950,2850
102,7 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3075,2900
106,8 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3090,2900
110,9 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,1200,3005,2875
114,10 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,1200,3005,2875
117,11 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3100,2875
121,13 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2560,2960,2850
125,14 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2925,2800
129,15 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2940,2800
133,16 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2450,3000,2800
137,17 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2400,2875,2800
140,18 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2400,2880,2800
145,20 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2550,2860,2780
149,21 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,700,2895,2850
153,22 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,730,2875,2810
156,23 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2700,2890,2800
165,28 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,500,2955,2950
169,1 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1600,3005,3005
173,2 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1375,3020,2870
177,3 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000,2910,2800
181,4 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000,2950,2870
186,6 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2915,2790
189,7 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000,2965,2870
196,9 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2920,2800
199,10 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2505,2930,2885
202,11 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2935,2935
206,14 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000,2930,2885
209,15 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1475,2925,2800
213,16 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1450,2930,2920
216,18 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1900,2950,2880
220,20 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1805,2970,2865
224,21 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2985,2900
228,22 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1485,2950,2885
235,24 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1650,2960,2925
239,25 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1650,2960,2925
244,27 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2940,2915
248,29 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2600,2890,2800
250,30 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2200,2935,2890
253,31 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2920,2780
254,1 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,2000,2915,2700
259,4 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1800,2950,2850
262,6 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1800,2980,2845
265,7 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1870,2975,2880
268,8 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2950,2930
272,10 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1100,2960,2950
279,12 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2960,2920
283,13 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2975,2950
288,15 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1000,2995,2925
292,17 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1000,3015,2920
296,18 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,3000,2900
300,19 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,3015,2950
303,20 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,500,3020,2965
306,21 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,3060,3000
310,22 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1800,3050,2990
314,24 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,3035,2900
320,27 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1760,3040,3005
323,28 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,2030,3025,2985
327,1 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1260,3030,3000
331,2 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1000,3045,2995
334,3 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1400,3040,2980
337,4 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1600,3020,2975
341,5 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,3015,2950
345,6 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1800,3025,2930
349,8 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1800,3040,2990
351,9 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1210,3015,2965
354,10 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1750,3030,2945
356,11 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2985,2900
358,12 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1750,2970,2880
361,13 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1700,3030,2925
365,15 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1680,2945,2930
368,16 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1910,2940,2790
371,17 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1805,2940,2830
375,18 May 17,Indore,Indore,Soyabean,Yellow,FAQ,2600,2950,2850
377,19 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2925,2765
381,20 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1500,2865,2780
385,22 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1550,2855,2855
389,23 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1666,2955,2855
393,24 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1000,2875,2750
397,25 May 17,Indore,Indore,Soyabean,Yellow,FAQ,1000,2875,2750
398,26 May 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2865,2780
401,27 May 17,Indore,Indore,Soyabean,Yellow,FAQ,555,2895,2895
418,21 Jun 17,Indore,Indore,Soyabean,Yellow,FAQ,800,2965,2865
421,22 Jun 17,Indore,Indore,Soyabean,Yellow,FAQ,1125,2975,2840
425,26 Jun 17,Indore,Indore,Soyabean,Yellow,FAQ,1400,3025,2870
427,27 Jun 17,Indore,Indore,Soyabean,Yellow,FAQ,500,3080,2870
431,29 Jun 17,Indore,Indore,Soyabean,Yellow,FAQ,2600,2940,2850
438,5 Jul 17,Indore,Indore,Soyabean,Yellow,FAQ,1600,2925,2800
440,6 Jul 17,Indore,Indore,Soyabean,Yellow,FAQ,620,2940,2800
442,7 Jul 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2900,2800
444,8 Jul 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2980,2840
455,14 Jul 17,Indore,Indore,Soyabean,Yellow,FAQ,2500,2990,2875
461,17 Jul 17,Indore,Indore,Soyabean,Yellow,FAQ,1000,3900,3900
