,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
133,2 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2950.0,2850.0
402,3 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2675.0,3230.0,3025.0
409,3 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3100.0,2900.0
439,3 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2733.0,3009.0,2870.0
463,3 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2795.0,3031.0,2900.0
711,4 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2692.0,3240.0,2900.0
717,4 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2600.0,3040.0,2880.0
750,4 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2750.0,3040.0,2895.0
774,4 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,3005.0,2839.0
989,5 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2682.0,2982.0,2900.0
991,5 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2560.0,3080.0,2880.0
1006,5 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2741.0,3018.0,2880.0
1255,6 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2560.0,3120.0,2975.0
1285,6 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,3024.0,2865.0
1307,6 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,3000.0,2950.0
1555,7 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2687.0,3230.0,2800.0
1588,7 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,2951.0,2825.0
1616,7 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2730.0,2996.0,2850.0
1764,8 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2900.0,2800.0
1879,9 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,2700.0,2700.0
1887,9 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,1525.0,2990.0,2905.0
1918,9 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2690.0,2930.0,2810.0
1937,9 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2681.0,2903.0,2825.0
2162,10 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,3240.0,3000.0
2168,10 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2990.0,2850.0
2198,10 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2731.0,2905.0,2820.0
2222,10 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2675.0,2888.0,2775.0
2440,11 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2500.0,2960.0,2800.0
2446,11 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2970.0,2900.0
2477,11 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2740.0,2935.0,2835.0
2501,11 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2752.0,3221.0,2870.0
2731,12 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2675.0,3000.0,2875.0
2737,12 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3090.0,2925.0
2764,12 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2710.0,2930.0,2820.0
2786,12 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2934.0,2825.0
3008,13 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2660.0,3000.0,2850.0
3015,13 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2990.0,2850.0
3043,13 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2780.0,3000.0,2890.0
3062,13 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2696.0,2960.0,2811.0
3231,14 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,2974.0,2850.0
3299,15 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,2800.0,2750.0
